,path,3Classes_target,9Classes_target,Regression_target,Relative_path
0,/content/drive/MyDrive/Dataset/images/6-10.JPG,Medium,13,12.5,./Dataset/Images/Preprocessed_1-815/6-10.JPG
1,/content/drive/MyDrive/Dataset/images/669-3.JPG,Low,11,11,./Dataset/Images/Preprocessed_1-815/669-3.JPG
2,/content/drive/MyDrive/Dataset/images/478-4.JPG,Low,11,11.2,./Dataset/Images/Preprocessed_1-815/478-4.JPG
3,/content/drive/MyDrive/Dataset/images/48-14.JPG,Low,11,11,./Dataset/Images/Preprocessed_1-815/48-14.JPG
4,/content/drive/MyDrive/Dataset/images/119-9.JPG,High,14,13.75,./Dataset/Images/Preprocessed_1-815/119-9.JPG
5,/content/drive/MyDrive/Dataset/images/384-1.JPG,Low,11,11.35,./Dataset/Images/Preprocessed_1-815/384-1.JPG
6,/content/drive/MyDrive/Dataset/images/560-12.JPG,High,13,13.35,./Dataset/Images/Preprocessed_1-815/560-12.JPG
7,/content/drive/MyDrive/Dataset/images/736-7.JPG,High,13,13.1,./Dataset/Images/Preprocessed_1-815/736-7.JPG
8,/content/drive/MyDrive/Dataset/images/316-4.JPG,High,14,14,./Dataset/Images/Preprocessed_1-815/316-4.JPG
9,/content/drive/MyDrive/Dataset/images/130-5.JPG,Medium,12,12.2,./Dataset/Images/Preprocessed_1-815/130-5.JPG
10,/content/drive/MyDrive/Dataset/images/743-13.JPG,Medium,12,12.25,./Dataset/Images/Preprocessed_1-815/743-13.JPG
11,/content/drive/MyDrive/Dataset/images/578-3.JPG,Medium,13,12.5,./Dataset/Images/Preprocessed_1-815/578-3.JPG
12,/content/drive/MyDrive/Dataset/images/646-8.JPG,Medium,13,12.55,./Dataset/Images/Preprocessed_1-815/646-8.JPG
13,/content/drive/MyDrive/Dataset/images/69-1.JPG,High,14,13.6,./Dataset/Images/Preprocessed_1-815/69-1.JPG
14,/content/drive/MyDrive/Dataset/images/183-5.JPG,Low,11,11.05,./Dataset/Images/Preprocessed_1-815/183-5.JPG
15,/content/drive/MyDrive/Dataset/images/631-3.JPG,High,14,13.5,./Dataset/Images/Preprocessed_1-815/631-3.JPG
16,/content/drive/MyDrive/Dataset/images/123-1.JPG,High,13,13.2,./Dataset/Images/Preprocessed_1-815/123-1.JPG
17,/content/drive/MyDrive/Dataset/images/731-11.JPG,Medium,12,12.35,./Dataset/Images/Preprocessed_1-815/731-11.JPG
18,/content/drive/MyDrive/Dataset/images/363-8.JPG,Medium,12,12.3,./Dataset/Images/Preprocessed_1-815/363-8.JPG
19,/content/drive/MyDrive/Dataset/images/533-13.JPG,High,14,14.05,./Dataset/Images/Preprocessed_1-815/533-13.JPG
20,/content/drive/MyDrive/Dataset/images/399-5.JPG,Low,11,11.3,./Dataset/Images/Preprocessed_1-815/399-5.JPG
21,/content/drive/MyDrive/Dataset/images/33-14.JPG,Medium,13,12.5,./Dataset/Images/Preprocessed_1-815/33-14.JPG
22,/content/drive/MyDrive/Dataset/images/64-9.JPG,Medium,13,13,./Dataset/Images/Preprocessed_1-815/64-9.JPG
23,/content/drive/MyDrive/Dataset/images/599-14.JPG,Low,12,11.8,./Dataset/Images/Preprocessed_1-815/599-14.JPG
24,/content/drive/MyDrive/Dataset/images/512-7.JPG,Medium,13,12.9,./Dataset/Images/Preprocessed_1-815/512-7.JPG
25,/content/drive/MyDrive/Dataset/images/355-5.JPG,Low,11,11.1,./Dataset/Images/Preprocessed_1-815/355-5.JPG
26,/content/drive/MyDrive/Dataset/images/576-7.JPG,High,14,14.45,./Dataset/Images/Preprocessed_1-815/576-7.JPG
27,/content/drive/MyDrive/Dataset/images/169-10.JPG,Low,11,10.65,./Dataset/Images/Preprocessed_1-815/169-10.JPG
28,/content/drive/MyDrive/Dataset/images/317-4.JPG,High,14,13.9,./Dataset/Images/Preprocessed_1-815/317-4.JPG
29,/content/drive/MyDrive/Dataset/images/724-2.JPG,High,14,14.05,./Dataset/Images/Preprocessed_1-815/724-2.JPG
30,/content/drive/MyDrive/Dataset/images/565-6.JPG,High,13,13.1,./Dataset/Images/Preprocessed_1-815/565-6.JPG
31,/content/drive/MyDrive/Dataset/images/372-11.JPG,Low,12,11.5,./Dataset/Images/Preprocessed_1-815/372-11.JPG
32,/content/drive/MyDrive/Dataset/images/449-8.JPG,High,13,13.4,./Dataset/Images/Preprocessed_1-815/449-8.JPG
33,/content/drive/MyDrive/Dataset/images/431-9.JPG,High,13,13.2,./Dataset/Images/Preprocessed_1-815/431-9.JPG
34,/content/drive/MyDrive/Dataset/images/727-7.JPG,Low,10,10.15,./Dataset/Images/Preprocessed_1-815/727-7.JPG
35,/content/drive/MyDrive/Dataset/images/809-6.JPG,Low,12,11.6,./Dataset/Images/Preprocessed_1-815/809-6.JPG
36,/content/drive/MyDrive/Dataset/images/326-2.JPG,Medium,13,12.95,./Dataset/Images/Preprocessed_1-815/326-2.JPG
37,/content/drive/MyDrive/Dataset/images/237-8.JPG,High,13,13.35,./Dataset/Images/Preprocessed_1-815/237-8.JPG
38,/content/drive/MyDrive/Dataset/images/459-2.JPG,High,14,13.95,./Dataset/Images/Preprocessed_1-815/459-2.JPG
39,/content/drive/MyDrive/Dataset/images/645-6.JPG,High,14,13.6,./Dataset/Images/Preprocessed_1-815/645-6.JPG
40,/content/drive/MyDrive/Dataset/images/485-4.JPG,Low,12,11.6,./Dataset/Images/Preprocessed_1-815/485-4.JPG
41,/content/drive/MyDrive/Dataset/images/462-14.JPG,Medium,13,12.85,./Dataset/Images/Preprocessed_1-815/462-14.JPG
42,/content/drive/MyDrive/Dataset/images/363-6.JPG,Medium,12,12.3,./Dataset/Images/Preprocessed_1-815/363-6.JPG
43,/content/drive/MyDrive/Dataset/images/631-2.JPG,High,14,13.5,./Dataset/Images/Preprocessed_1-815/631-2.JPG
44,/content/drive/MyDrive/Dataset/images/390-4.JPG,Low,12,11.9,./Dataset/Images/Preprocessed_1-815/390-4.JPG
