1rd_red, 1rd_green, 1rd_blue, 1rd_r, 1rd_rg, 1rd_most_red, 1rd_least_red, 1rd_most_yellow, 1rd_size, 2nd_red, 2nd_green, 2nd_blue, 2rd_r, 2rd_rg, 2rd_most_red, 2rd_least_red, 2rd_most_yellow, 2nd_size, 3rd_red, 3rd_green, 3rd_blue, 3rd_r, 3rd_rg, 3rd_most_red, 3rd_least_red, 3rd_most_yellow, 3rd_size, 4th_red, 4th_green, 4th_blue, 4rd_r, 4rd_rg, 4rd_most_red, 4rd_least_red, 4rd_most_yellow, 4th_size, 5th_red, 5th_green, 5th_blue, 5rd_r, 5rd_rg, 5rd_most_red, 5rd_least_red, 5rd_most_yellow, 5th_size, 6th_red, 6th_green, 6th_blue, 6rd_r, 6rd_rg, 5rd_most_red.1, 5rd_least_red.1, 5rd_most_yellow.1, 6th_size, height/area,Sweetness
184.66,90.55,44.45,49.66,230.76,157,-208,368,10603,143.38,32.91,46.23,64.24,130.06,154,-239,335,9954,152.75,26.75,41.77,84.23,137.73,167,-248,300,9773,172.13,36.68,50.8,84.65,158.01,171,-161,276,9985,176.63,62.04,37.88,76.71,200.79,163,-139,374,9980,156.53,41.7,39.84,74.99,158.39,159,-206,327,9859,0.92983118,14.7
179.48,121.2,68.54,-10.26,232.14,144,-229,384,11573,121.9,38.27,52.11,31.52,108.06,136,-232,326,11390,122.79,30.66,44.09,48.04,109.36,127,-230,251,10648,134.38,38.15,52.33,43.9,120.2,116,-237,275,10830,178.12,81.32,59.62,37.18,199.82,154,-182,337,10638,155,56.95,48.92,49.13,163.03,151,-179,375,10762,0.929923097,13.15
179.2,102.23,54.85,22.12,226.58,128,-127,378,11912,138.91,39.6,50.81,48.5,127.7,139,-243,331,11293,114.85,24.44,44.07,46.34,95.22,124,-121,252,11750,130.42,35.3,48.01,47.11,117.71,151,-203,313,10954,183.52,73.65,42.29,67.58,214.88,155,-166,384,11817,165.13,60.78,43.13,61.22,182.78,140,-137,338,11268,0.94593687,16.45
189.01,172.43,74.9,-58.32,286.54,106,-236,384,14758,157.56,66.77,64.77,26.02,159.56,171,-244,331,14720,179.3,74.6,57.02,47.68,196.88,167,-237,360,14356,174,81.99,55.53,36.48,200.46,172,-195,402,13838,182.72,123.63,63.47,-4.38,242.88,140,-227,389,14446,171.07,80.59,50.33,40.15,201.33,163,-233,361,14459,0.979739802,14.55
158.74,93.24,63.79,1.71,188.19,133,-227,400,12750,171.02,116.3,79,-24.28,208.32,130,-229,393,12354,126.82,38.98,50.83,37.01,114.97,145,-231,263,12044,181.23,121.61,65.7,-6.08,237.14,162,-162,381,12679,176.97,129.8,69.92,-22.75,236.85,117,-197,385,13104,130.84,43.93,56.3,30.61,118.47,144,-207,338,12561,0.985176471,15.3
171.06,149.19,72.59,-50.72,247.66,141,-234,379,10299,174.73,137.09,77.04,-39.4,234.78,90,-225,360,10115,155.28,45.11,42.05,68.12,158.34,161,-152,327,9857,172.47,151.14,76.68,-55.35,246.93,118,-185,369,10020,185.71,179.64,86.99,-80.92,278.36,38,-180,379,9945,174.33,103.88,62,8.45,216.21,134,-194,377,9859,0.957277406,13
183.02,128.83,61.82,-7.63,250.03,168,-202,416,12557,186.91,135.5,74.12,-22.71,248.29,117,-226,383,12092,181.51,56.07,61.32,64.12,176.26,180,-238,362,12071,195.24,109.71,66.17,19.36,238.78,182,-224,358,12117,200.51,118.37,67.44,14.7,251.44,131,-180,345,12360,192.49,92.73,54.51,45.25,230.71,150,-130,349,12188,0.970614,13.55
175.77,155.68,71.24,-51.15,260.21,106,-235,386,12067,170.35,85.12,61.74,23.49,193.73,175,-162,363,11139,162.32,49.81,49.76,62.75,162.37,161,-228,279,10573,164.42,85.48,56.74,22.2,193.16,163,-227,395,11133,182.26,152.6,67.48,-37.82,267.38,134,-203,384,10286,188.97,160.03,83.08,-54.14,265.92,116,-222,378,11484,0.951686418,13.8
192.83,158.27,75.03,-40.47,276.07,128,-200,397,11459,182.83,159.75,85.47,-62.39,257.11,108,-234,369,11041,190.91,77.09,58.49,55.33,209.51,171,-233,344,11257,204.53,137.76,79.75,-12.98,262.54,158,-237,363,11504,208.12,180.4,94.36,-66.64,294.16,95,-241,387,11036,206.05,159.6,88.4,-41.95,277.25,61,-223,380,11539,1.006981412,13.65
180.46,117.85,70.59,-7.98,227.72,120,-228,390,10702,134.19,41.63,49.98,42.58,125.84,150,-245,302,10062,144.79,39.49,50.21,55.09,134.07,153,-169,338,10292,164.14,70.38,59.06,34.7,175.46,151,-233,354,10079,170.16,93,56.47,20.69,206.69,152,-167,382,10323,150.82,54,51.55,45.27,153.27,146,-160,365,10165,0.949822463,14.3
187.37,183.74,84.76,-81.13,286.35,56,-242,368,9973,166.64,87.42,59.78,19.44,194.28,157,-250,351,10163,183.37,104.83,61.06,17.48,227.14,146,-205,386,10029,188.19,162.07,92.41,-66.29,257.85,136,-246,343,10129,189.92,168.72,85.31,-64.11,273.33,86,-246,367,9871,186.07,135.46,75.7,-25.09,245.83,126,-217,356,9933,0.995989171,12.2
186.26,125.5,66.57,-5.81,245.19,137,-221,393,12733,179.44,130.52,69.35,-20.43,240.61,143,-242,385,12219,162.92,42.98,49.77,70.17,156.13,161,-239,307,12321,190.49,104.8,62.05,23.64,233.24,163,-154,353,12462,195.18,136.55,66.23,-7.6,265.5,114,-219,392,12181,186.91,97.03,56.53,33.35,227.41,119,-150,345,12621,0.991203958,14.5
183.65,172.51,73.14,-62,283.02,64,-202,394,11417,183.74,156.39,95.03,-67.68,245.1,75,-234,354,10814,196.74,131.29,82.78,-17.33,245.25,143,-203,372,10638,184.88,175.08,91.92,-82.12,268.04,104,-229,368,10659,200.33,165.75,89.4,-54.82,276.68,42,-189,386,10930,193.32,156.95,83.43,-47.06,266.84,93,-239,378,10813,0.947096435,13.55
181.67,126.8,70.1,-15.23,238.37,155,-243,370,9757,155.67,88.95,61.06,5.66,183.56,148,-238,376,9807,141.46,42.32,45.83,53.31,137.95,149,-226,280,9675,169.47,81.55,51.42,36.5,199.6,151,-206,376,9692,181.1,143.15,71.59,-33.64,252.66,128,-234,364,9771,179.54,124.82,62.23,-7.51,242.13,121,-232,390,9588,0.982679102,13.55
187.96,93.48,64.35,30.13,217.09,161,-184,374,12250,185,164.82,79.16,-58.98,270.66,94,-209,379,11480,177.32,60.7,59.58,57.04,178.44,153,-122,375,11588,190.84,103.02,60.46,27.36,233.4,174,-189,379,11719,203.1,138.55,68.01,-3.46,273.64,133,-186,368,11873,196.96,145.88,77.72,-26.64,265.12,97,-202,364,11987,0.978530612,15.4
174.51,138.64,63.58,-27.71,249.57,118,-229,395,7527,102.41,34.65,39.94,27.82,97.12,101,-194,298,7428,126.07,33.41,41.9,50.76,117.58,134,-241,297,7122,122.08,40.37,36.98,44.73,125.47,149,-240,297,6942,141.19,70.26,44.74,26.19,166.71,120,-212,373,7154,136.67,51.51,45.79,39.37,142.39,130,-242,344,7076,0.94008237,14.1
174,129.56,73.01,-28.57,230.55,143,-240,369,12723,168.95,133.12,70.42,-34.59,231.65,123,-241,375,11721,174.5,72.7,54.62,47.18,192.58,149,-175,304,11726,175.68,89.69,59.28,26.71,206.09,141,-165,365,11755,179.92,100.24,64.25,15.43,215.91,136,-219,367,11765,183.9,157.56,80.5,-54.16,260.96,100,-193,374,12165,0.956142419,13.6
184.67,166.6,75.44,-57.37,275.83,123,-246,386,15211,180.34,110.98,63.41,5.95,227.91,138,-245,377,14536,155.14,44.57,55.71,54.86,144,166,-245,279,14936,168.75,85.59,55.17,27.99,199.17,171,-241,379,15384,187.82,116.72,56.97,14.13,247.57,152,-233,433,15044,196.82,156.02,77.53,-36.73,275.31,117,-206,395,15253,1.00276116,14.6
180.02,133.34,67.6,-20.92,245.76,142,-242,382,10033,167.22,81.27,64.05,21.9,184.44,150,-246,332,9848,146.27,32.86,43.31,70.1,135.82,174,-240,253,9675,168.15,88.93,57.49,21.73,199.59,154,-226,356,9905,192.84,162.89,83.53,-53.58,272.2,94,-225,362,9621,183.87,134.15,69.06,-19.34,248.96,117,-201,375,9870,0.983753613,13.6
