red, green, blue, H, S, V, r, rg, most_red, least_red, most_yellow, 1_g_r, 1_rg_r, 1_gb_r, 1_rgb_r, 1_r_rg, 1_g_rg, 1_gb_rb, 1_rgb_rb, 1_r_rgb, 1_gb_rgb
152.75,26.75,41.77,139.29,214.57,152.75,84.23,137.73,167.0,-248.0,300.0,0.1751227495908347,1.1751227495908347,0.4485761047463176,1.4485761047463177,0.850974930362117,0.149025069637883,0.3522516964836521,1.137517993008431,0.690333077235956,0.3096669227640439
122.79,30.66,44.09,151.3,192.65,122.79,48.04,109.36,127.0,-230.0,251.0,0.249694600537503,1.2496946005375031,0.6087629285772457,1.6087629285772458,0.8001955034213099,0.1998044965786901,0.4479266538830297,1.183724832214765,0.6215956262022881,0.3784043737977118
114.85,24.44,44.07,152.54,200.31,114.85,46.34,95.22,124.0,-121.0,252.0,0.2127993034392686,1.2127993034392686,0.5965171963430562,1.596517196343056,0.8245387321415751,0.1754612678584249,0.4310974075006293,1.153788069468915,0.6263634380453752,0.3736365619546248
179.3,74.6,57.02,74.48,180.32,179.3,47.68,196.88,167.0,-237.0,360.0,0.4160624651422197,1.4160624651422198,0.7340769659788065,1.7340769659788065,0.7061835368255219,0.2938164631744781,0.5569566689234935,1.315673662830061,0.5766756721986364,0.4233243278013637
126.82,38.98,50.83,153.45,178.51,126.82,37.01,114.97,145.0,-231.0,263.0,0.3073647689638858,1.3073647689638856,0.7081690585081218,1.7081690585081215,0.764897466827503,0.235102533172497,0.5055446101885731,1.2194202082746977,0.5854221483635692,0.4145778516364308
155.28,45.11,42.05,50.52,188.02,155.28,68.12,158.34,161.0,-152.0,327.0,0.2905074703760948,1.2905074703760946,0.5613086038124677,1.5613086038124675,0.7748889665152953,0.2251110334847048,0.4416966502812547,1.2286018344904477,0.6404883682560634,0.3595116317439366
181.51,56.07,61.32,115.64,189.42,181.52,64.12,176.26,180.0,-238.0,362.0,0.3089086000771308,1.3089086000771306,0.6467412263787119,1.6467412263787118,0.7639952857984679,0.2360047142015321,0.4834246180455463,1.230902277313347,0.6072599531615925,0.3927400468384075
162.32,49.81,49.76,89.25,186.07,162.32,62.75,162.37,161.0,-228.0,279.0,0.3068629866929522,1.3068629866929522,0.613417939871858,1.613417939871858,0.7651911563663791,0.2348088436336209,0.4694926442851754,1.2348642021878538,0.6198022070334873,0.3801977929665126
190.91,77.09,58.49,29.89,178.15,190.91,55.33,209.51,171.0,-233.0,344.0,0.4038028390340998,1.4038028390341,0.7101775705829974,1.7101775705829974,0.7123507462686567,0.2876492537313433,0.5436246992782678,1.3091018444266238,0.5847346013660448,0.4152653986339551
144.79,39.49,50.21,136.7,187.55,144.79,55.09,134.07,153.0,-169.0,338.0,0.2727398300987637,1.2727398300987638,0.6195179225084606,1.6195179225084606,0.7857065335359236,0.2142934664640764,0.46,1.2025128205128206,0.6174676958505693,0.3825323041494307
183.37,104.83,61.06,32.89,175.62,183.4,17.48,227.14,146.0,-205.0,386.0,0.5716856628674265,1.5716856628674265,0.9046736107323988,1.904673610732399,0.6362595419847329,0.3637404580152671,0.6786810129689481,1.428875342633883,0.5250243371700166,0.4749756628299834
162.92,42.98,49.77,129.98,193.23,162.92,70.17,156.13,161.0,-239.0,307.0,0.263810459121041,1.263810459121041,0.569297814878468,1.569297814878468,0.7912578921806702,0.2087421078193297,0.4360806808030467,1.202078141896657,0.6372276763014824,0.3627723236985176
196.74,131.29,82.78,22.87,149.01,196.84,-17.33,245.25,143.0,-203.0,372.0,0.6673274372267968,1.6673274372267963,1.0880857985158077,2.0880857985158072,0.5997622168704083,0.4002377831295918,0.7658485975958786,1.4696980538065254,0.4789075241595872,0.5210924758404128
141.46,42.32,45.83,118.03,188.58,141.46,53.31,137.95,149.0,-226.0,280.0,0.2991658419341156,1.2991658419341157,0.6231443517602149,1.6231443517602149,0.769724670802046,0.230275329197954,0.470660473063164,1.2259597415772332,0.6160881494708419,0.3839118505291581
177.32,60.7,59.58,83.99,178.35,177.32,57.04,178.44,153.0,-122.0,375.0,0.3423189713512294,1.3423189713512294,0.6783216783216783,1.678321678321678,0.7449794134946643,0.2550205865053357,0.5077247783875053,1.2562262558041368,0.5958333333333333,0.4041666666666667
126.07,33.41,41.9,135.82,192.23,126.07,50.76,117.58,134.0,-241.0,297.0,0.2650115015467597,1.2650115015467598,0.5973665423970811,1.597366542397081,0.7905066466014548,0.2094933533985452,0.4483538727153658,1.1989045662915996,0.6260303903068825,0.3739696096931175
174.5,72.7,54.62,40.05,178.54,174.5,47.18,192.58,149.0,-175.0,304.0,0.4166189111747851,1.4166189111747851,0.7296275071633237,1.7296275071633238,0.705906148867314,0.2940938511326861,0.5556913407821229,1.3173009776536313,0.5781591677158572,0.4218408322841429
155.14,44.57,55.71,132.26,187.07,155.14,54.86,144.0,166.0,-245.0,279.0,0.2872889003480727,1.2872889003480728,0.6463839113059173,1.646383911305917,0.7768263982775024,0.2231736017224976,0.4755987668958976,1.2113824994071614,0.6073917469266307,0.3926082530733694
146.27,32.86,43.31,141.19,198.2,146.27,70.1,135.82,174.0,-240.0,253.0,0.2246530389006631,1.2246530389006631,0.5207492992411294,1.5207492992411291,0.8165578071791437,0.1834421928208563,0.401782888490347,1.1733305200970563,0.6575705808307859,0.3424294191692141
164.28,64.44,42.94,15.33,189.88,164.28,56.9,185.78,157.0,-196.0,348.0,0.3922571219868517,1.3922571219868518,0.6536401266130996,1.6536401266130991,0.7182581322140609,0.2817418677859391,0.5181932245922208,1.3109738442235304,0.6047264963557388,0.3952735036442612
153.29,48.84,46.66,90.16,189.82,153.29,57.79,155.47,173.0,-193.0,323.0,0.3186117815904495,1.3186117815904494,0.6230021527823081,1.623002152782308,0.7583733240983526,0.2416266759016474,0.4776194048512128,1.2442610652663166,0.6161421278990313,0.3838578721009687
187.89,149.27,78.6,20.03,149.75,189.18,-39.98,258.56,72.0,-229.0,376.0,0.7944542019266593,1.7944542019266592,1.2127840757890256,2.212784075789026,0.5572725115672085,0.4427274884327916,0.8550789898307629,1.5601335885023828,0.4519193765634019,0.548080623436598
183.44,131.53,76.55,24.61,152.16,183.7,-24.64,238.42,151.0,-172.0,361.0,0.7170191888355866,1.7170191888355868,1.1343218491059746,2.1343218491059748,0.5824046734609645,0.4175953265390354,0.8003384745567136,1.505904073233586,0.4685328974254188,0.5314671025745811
155.85,67.61,51.04,37.15,178.71,155.85,37.2,172.42,147.0,-210.0,360.0,0.4338145652871351,1.433814565287135,0.7613089509143408,1.7613089509143407,0.6974402577642531,0.3025597422357469,0.5734931606167529,1.3267920150804775,0.5677595628415301,0.43224043715847
