1rd_red, 1rd_green, 1rd_blue, 1rd_r, 1rd_rg, 1rd_most_red, 1rd_least_red, 1rd_most_yellow, 1rd_size, 2nd_red, 2nd_green, 2nd_blue, 2rd_r, 2rd_rg, 2rd_most_red, 2rd_least_red, 2rd_most_yellow, 2nd_size, 3rd_red, 3rd_green, 3rd_blue, 3rd_r, 3rd_rg, 3rd_most_red, 3rd_least_red, 3rd_most_yellow, 3rd_size, 4th_red, 4th_green, 4th_blue, 4rd_r, 4rd_rg, 4rd_most_red, 4rd_least_red, 4rd_most_yellow, 4th_size, 5th_red, 5th_green, 5th_blue, 5rd_r, 5rd_rg, 5rd_most_red, 5rd_least_red, 5rd_most_yellow, 5th_size, 6th_red, 6th_green, 6th_blue, 6rd_r, 6rd_rg, 5rd_most_red.1, 5rd_least_red.1, 5rd_most_yellow.1, 6th_size, height/area
179.65,88.19,43.24,48.22,224.6,158,-209,370,10981,141.68,32.8,45.73,63.15,128.75,155,-240,335,10157,149.8,26.78,41.15,81.87,135.43,167,-248,301,10081,168.14,36.24,49.68,82.22,154.7,172,-162,277,10328,173.14,60.99,37.2,74.95,196.93,163,-140,376,10264,153.59,41.23,39.23,73.13,155.59,160,-206,329,10156,0.92487023
175.5,118.55,66.91,-9.96,227.14,145,-230,386,11926,119.29,38.01,51.21,30.07,106.09,136,-232,327,11787,117.79,29.83,42.41,45.55,105.21,128,-231,252,11222,129.69,37.26,50.61,41.82,116.34,117,-237,275,11350,174.57,79.82,58.37,36.38,196.02,155,-183,338,10948,148.2,55.01,47.1,46.09,156.11,152,-180,377,11417,0.957320141
176.79,100.93,54.04,21.82,223.68,129,-127,380,12153,136.82,39.15,49.96,47.71,126.01,140,-244,333,11564,111.15,24.13,42.75,44.27,92.53,124,-121,253,12272,126.25,34.55,46.45,45.25,114.35,152,-203,315,11456,179.41,72.03,41.34,66.04,210.1,156,-167,386,12173,160.67,59.33,42.09,59.25,177.91,140,-138,340,11697,0.9624784
185.79,169.31,73.35,-56.87,281.75,107,-237,384,15137,155.54,65.98,63.87,25.69,157.65,172,-245,333,15027,176.64,73.79,56.21,46.64,194.22,168,-238,362,14726,169.77,80.17,54.21,35.39,195.73,173,-197,402,14344,180.11,121.86,62.45,-4.2,239.52,141,-228,391,14778,168.33,79.42,49.54,39.37,198.21,164,-234,363,14829,0.979652507
153.74,90.33,61.77,1.64,182.3,134,-228,402,13290,165.26,112.35,76.17,-23.26,201.44,131,-230,395,12905,123.48,38.28,49.5,35.7,112.26,146,-232,264,12509,177.73,119.31,64.3,-5.88,232.74,163,-163,383,13034,175.83,128.96,69.31,-22.44,235.48,117,-198,387,13274,128.7,43.53,55.35,29.82,116.88,145,-208,340,12925,0.972535741
167.94,146.39,71.25,-49.7,243.08,142,-235,381,10603,171.73,134.72,75.62,-38.61,230.83,91,-226,362,10390,149.39,43.89,40.74,64.76,152.54,161,-152,327,10369,167.48,146.69,74.28,-53.49,239.89,119,-185,371,10414,175.59,169.59,82.05,-76.05,263.13,38,-180,381,10669,169.47,101.07,60.19,8.21,210.35,135,-195,379,10235,0.965292842
179.79,126.52,60.61,-7.34,245.7,169,-203,418,12882,184.88,133.94,73.19,-22.25,245.63,118,-227,385,12319,178.26,55.49,60.3,62.47,173.45,181,-239,364,12430,191.76,107.84,64.95,18.97,234.65,183,-225,360,12439,197.03,116.37,66.12,14.54,247.28,132,-181,347,12677,186.68,90.05,52.91,43.72,223.82,151,-131,351,12693,0.985328365
171.89,152.2,69.58,-49.89,254.51,106,-236,388,12443,167.03,83.51,60.42,23.1,190.12,176,-163,363,11456,159.3,49.09,48.87,61.34,159.52,162,-228,281,10871,158.35,82.56,54.68,21.11,186.23,164,-228,397,11701,179.34,150.02,66.27,-36.95,263.09,135,-203,385,10543,186.88,158.18,81.96,-53.26,263.1,117,-223,380,11700,0.940287712
184.68,151.52,71.8,-38.64,264.4,129,-201,399,12112,179.35,156.5,83.58,-60.73,252.27,108,-235,369,11366,185.81,75.33,57.06,53.42,204.08,172,-234,345,11696,200.7,135.3,78.13,-12.73,257.87,159,-238,365,11833,204.47,177.18,92.4,-65.11,289.25,95,-242,387,11336,203.47,157.75,87.08,-41.36,274.14,61,-224,382,11795,0.973827609
174.21,113.78,68.05,-7.62,219.94,121,-229,392,11169,126.6,39.85,47.37,39.38,119.08,151,-246,302,10839,138.16,38.35,48.18,51.63,128.33,154,-170,339,10951,159.4,68.5,57.31,33.59,170.59,152,-234,356,10481,167.1,91.43,55.46,20.21,203.07,153,-168,382,10605,144.53,52.07,49.5,42.96,147.1,147,-160,367,10733,0.960963381
