1rd_red, 1rd_green, 1rd_blue, 1rd_r, 1rd_rg, 1rd_most_red, 1rd_least_red, 1rd_most_yellow, 1rd_size, height/area
179.65,88.19,43.24,48.22,224.6,158,-209,370,10981,0.924961297
175.5,118.55,66.91,-9.96,227.14,145,-230,386,11926,0.988344793
176.79,100.93,54.04,21.82,223.68,129,-127,380,12153,0.951534601
185.79,169.31,73.35,-56.87,281.75,107,-237,384,15137,0.992733038
153.74,90.33,61.77,1.64,182.3,134,-228,402,13290,0.97103085
167.94,146.39,71.25,-49.7,243.08,142,-235,381,10603,0.979911346
179.79,126.52,60.61,-7.34,245.7,169,-203,418,12882,0.956295606
171.89,152.2,69.58,-49.89,254.51,106,-236,388,12443,0.920678293
184.68,151.52,71.8,-38.64,264.4,129,-201,399,12112,0.93840819
174.21,113.78,68.05,-7.62,219.94,121,-229,392,11169,0.970453935
184.23,180.42,83.09,-79.28,281.56,56,-243,368,10240,1.019628906
184.44,124.28,65.75,-5.59,242.97,138,-222,393,12940,0.977202473
180.74,169.62,71.78,-60.66,278.58,65,-203,396,11712,0.951844262
177.24,123.69,68.28,-14.73,232.65,156,-244,372,10098,1.045058427
185.22,92.15,63.35,29.72,214.02,162,-185,376,12534,0.9418382
172.43,136.94,62.81,-27.32,246.56,119,-230,395,7671,1.023856081
173,128.79,72.49,-28.28,229.3,144,-241,370,12871,0.931706938
182.69,164.69,74.45,-56.45,272.93,123,-246,388,15506,0.961305301
175.81,130.16,66.02,-20.37,239.95,143,-243,383,10375,1.008674699
176.82,142.27,78.18,-43.63,240.91,130,-217,369,11105,0.987843314
184.16,154.87,81.29,-52,257.74,103,-213,382,12493,0.973825342
175.35,179.53,76.66,-80.84,278.22,31,-253,373,8821,0.969051128
178.16,133.95,74.26,-30.05,237.85,135,-243,375,10777,1.008536699
157.98,103.2,58.59,-3.81,202.59,131,-246,357,10883,1.037949095
142.78,64.35,49.73,28.7,157.4,147,-250,367,8795,1.020466174
164.41,115.07,56.91,-7.57,222.57,160,-229,387,13414,0.952661399
174.84,104.7,65.33,4.81,214.21,134,-221,392,12371,0.987551532
149.23,70.87,54.69,23.67,165.41,159,-249,348,14261,0.947759624
164.17,128.93,66.55,-31.31,226.55,125,-245,374,10628,0.95474219
152.7,95.08,56.62,1,191.16,130,-245,365,11883,0.941176471
175.93,84.44,53.26,38.23,207.11,158,-245,368,15876,0.949672462
173.3,135.44,72.82,-34.96,235.92,135,-240,381,12048,0.927622842
174.09,144.07,67.02,-37,251.14,104,-219,391,10808,0.993430792
169.87,139.73,74.75,-44.61,234.85,108,-235,376,13919,0.932969323
175.34,133.53,82.05,-40.24,226.82,130,-243,370,11772,1.016224941
200.65,165.61,81.6,-46.56,284.66,99,-188,404,11339,1.004144986
178.94,108.64,62,8.3,225.58,150,-249,407,17295,0.926279271
182.98,109.32,58.01,15.65,234.29,153,-221,376,7579,1.013194353
171.29,143.92,52.57,-25.2,262.64,141,-245,420,12385,1.026322164
170.36,150.47,68.92,-49.03,251.91,109,-204,380,8848,1.0210217
171.03,131.96,56.73,-17.66,246.26,93,-224,397,9616,0.949667221
195.74,154.57,60.99,-19.82,289.32,114,-211,396,14990,0.973982655
173.96,111.91,54.07,7.98,231.8,153,-239,390,12283,0.9914516
132.93,47.82,43.21,41.9,137.54,149,-251,341,9726,0.968126671
181.76,132.31,61.93,-12.48,252.14,146,-239,392,12311,0.940865892
146.92,63.97,50.14,32.81,160.75,150,-251,306,9772,0.946070405
185.1,172.19,72.92,-60.01,284.37,58,-182,390,9629,0.988680029
156.22,82.05,40.79,33.38,197.48,145,-250,381,9633,0.952039863
182.35,125.58,57.48,-0.71,250.45,142,-231,399,11761,0.986565768
165.46,98.87,52.5,14.09,211.83,144,-248,378,13431,0.961655871
172.13,101.22,47.39,23.52,225.96,132,-249,407,16419,0.960289908
180.82,173.63,72.41,-65.22,282.04,47,-224,392,12910,0.977846631
166.61,88.22,46.33,32.06,208.5,140,-233,383,13053,0.931893051
163.1,119.69,61.08,-17.67,221.71,103,-248,407,13877,0.976003459
163.86,140.74,66.86,-43.74,237.74,94,-226,386,12985,0.958028494
176.87,156.97,67.67,-47.77,266.17,122,-243,379,11090,0.990441839
180.24,166.12,80.14,-66.02,266.22,80,-237,364,9846,0.975624619
177.32,138.94,62.56,-24.18,253.7,139,-194,390,17288,0.953262379
171.87,161.63,63.61,-53.37,269.89,80,-246,374,11475,0.967755991
176.92,159.51,54.58,-37.17,281.85,103,-232,408,9868,1.020470207
184.75,163.04,75.08,-53.37,272.71,108,-221,381,9334,1.027640883
178.04,162.37,75.45,-59.78,264.96,92,-235,385,12360,0.961893204
168.71,128.56,61.82,-21.67,235.45,105,-246,368,11900,0.983361345
177.48,160.82,66.64,-49.98,271.66,88,-212,393,9333,1.008678881
181.87,180.34,74.25,-72.72,287.96,62,-217,371,11353,0.982823923
180.58,170.23,77.43,-67.08,273.38,103,-221,378,9731,0.963826945
174.64,136.31,55.59,-17.26,255.36,153,-228,404,16967,0.929038722
188.98,159.28,59.99,-30.29,288.27,115,-246,404,11448,0.975978337
176.59,166.19,81.83,-71.43,260.95,89,-224,366,11972,0.969178082
161.48,127.24,66.38,-32.14,222.34,98,-242,361,5960,0.987416107
165.69,155.19,76.17,-65.67,244.71,108,-223,353,7591,0.975892504
160.25,122.99,63.09,-25.83,220.15,139,-250,350,9645,0.944219803
145.76,59.79,48.11,37.86,157.44,146,-246,335,8926,0.95697961
148.75,78.51,52.2,18.04,175.06,137,-187,399,12012,0.994838495
122.42,46.44,49.48,26.5,119.38,132,-249,311,10441,0.953740063
175.99,166.51,71.1,-61.62,271.4,98,-250,374,9825,0.95043257
174.99,149.47,63.17,-37.65,261.29,99,-243,395,14465,0.975043208
178.92,174.3,74.27,-69.65,278.95,68,-248,372,10101,1.01970102
174.27,165.86,71.75,-63.34,268.38,113,-214,367,11547,0.959036979
179.39,183.44,76.66,-80.71,286.17,22,-206,388,8266,0.966126301
151.22,100.29,51.98,-1.05,199.53,131,-246,362,7587,0.966126269
170.59,124.9,61,-15.31,234.49,128,-248,373,8804,0.986256247
176.88,171.4,72.37,-66.89,275.91,105,-247,374,9609,0.989905297
165.7,160.52,66.6,-61.42,259.62,70,-239,377,6619,0.980510651
177.7,165.25,69.04,-56.59,273.91,85,-239,372,10337,0.974557415
171.14,163.37,65.97,-58.2,268.54,61,-217,385,11208,0.952980014
162.33,162.26,65.8,-65.73,258.79,38,-247,368,9011,0.976029298
174.9,153.87,67.49,-46.46,261.28,103,-235,384,9117,1.016343095
171.3,179.54,81.27,-89.51,269.57,29,-211,360,6965,0.985498923
165.15,146.36,66.14,-47.35,245.37,86,-235,371,10742,0.928225656
164.78,83.38,55.36,26.04,192.8,150,-242,372,13482,0.946298769
154.73,146.66,62.23,-54.16,239.16,40,-249,374,6481,0.998457028
180.76,159.96,77.04,-56.24,263.68,135,-246,369,9558,0.979284369
177.23,142.87,63.69,-29.33,256.41,106,-249,385,10875,0.972689655
167.76,127.57,69.91,-29.72,225.42,110,-242,367,8699,0.978618232
166.62,146.18,65.48,-45.04,247.32,86,-214,376,9437,0.970011656
184.62,145.68,69.46,-30.52,260.84,95,-224,375,14192,0.934751973
170.59,117.14,51.49,1.96,236.24,150,-252,386,7742,1.008912426
177.85,170.03,62.11,-54.29,285.77,86,-250,388,9169,0.98233177
184.51,102.58,61.79,20.14,225.3,113,-246,390,14863,0.94180179
167.17,129.97,71.69,-34.49,225.45,105,-215,365,8361,0.995215883
179.36,122.18,73.64,-16.46,227.9,110,-255,352,8515,0.989312977
