,1rd_red, 1rd_green, 1rd_blue, 1rd_r, 1rd_rg, 1rd_most_red, 1rd_least_red, 1rd_most_yellow, 1rd_size, 2nd_red, 2nd_green, 2nd_blue, 2rd_r, 2rd_rg, 2rd_most_red, 2rd_least_red, 2rd_most_yellow, 2nd_size, height/area
0,179.65,88.19,43.24,48.22,224.6,158.0,-209.0,370.0,10981,141.68,32.8,45.73,63.15,128.75,155.0,-240.0,335.0,10157,0.9249612967853564
1,175.5,118.55,66.91,-9.96,227.14,145.0,-230.0,386.0,11926,119.29,38.01,51.21,30.07,106.09,136.0,-232.0,327.0,11787,0.9883447928894852
2,176.79,100.93,54.04,21.82,223.68,129.0,-127.0,380.0,12153,136.82,39.15,49.96,47.71,126.01,140.0,-244.0,333.0,11564,0.951534600510162
3,185.79,169.31,73.35,-56.87,281.75,107.0,-237.0,384.0,15137,155.54,65.98,63.87,25.69,157.65,172.0,-245.0,333.0,15027,0.992733038250644
4,153.74,90.33,61.77,1.64,182.3,134.0,-228.0,402.0,13290,165.26,112.35,76.17,-23.26,201.44,131.0,-230.0,395.0,12905,0.971030850263356
5,167.94,146.39,71.25,-49.7,243.08,142.0,-235.0,381.0,10603,171.73,134.72,75.62,-38.61,230.83,91.0,-226.0,362.0,10390,0.9799113458455154
6,179.79,126.52,60.61,-7.34,245.7,169.0,-203.0,418.0,12882,184.88,133.94,73.19,-22.25,245.63,118.0,-227.0,385.0,12319,0.956295606272318
7,171.89,152.2,69.58,-49.89,254.51,106.0,-236.0,388.0,12443,167.03,83.51,60.42,23.1,190.12,176.0,-163.0,363.0,11456,0.9206782930161536
8,184.68,151.52,71.8,-38.64,264.4,129.0,-201.0,399.0,12112,179.35,156.5,83.58,-60.73,252.27,108.0,-235.0,369.0,11366,0.9384081902245708
9,174.21,113.78,68.05,-7.62,219.94,121.0,-229.0,392.0,11169,126.6,39.85,47.37,39.38,119.08,151.0,-246.0,302.0,10839,0.970453934998657
10,184.23,180.42,83.09,-79.28,281.56,56.0,-243.0,368.0,10240,163.6,85.92,58.64,19.04,190.88,158.0,-251.0,353.0,10441,1.01962890625
11,184.44,124.28,65.75,-5.59,242.97,138.0,-222.0,393.0,12940,174.81,127.05,67.46,-19.7,234.4,144.0,-243.0,385.0,12645,0.9772024729520864
12,180.74,169.62,71.78,-60.66,278.58,65.0,-203.0,396.0,11712,180.08,153.15,92.93,-66.0,240.3,76.0,-235.0,355.0,11148,0.951844262295082
13,177.24,123.69,68.28,-14.73,232.65,156.0,-244.0,372.0,10098,147.19,84.4,57.99,4.8,173.6,149.0,-239.0,376.0,10553,1.0450584274113686
14,185.22,92.15,63.35,29.72,214.02,162.0,-185.0,376.0,12534,181.62,161.62,77.46,-57.46,265.78,94.0,-210.0,380.0,11805,0.9418382000957396
15,172.43,136.94,62.81,-27.32,246.56,119.0,-230.0,395.0,7671,98.14,33.72,38.57,25.85,93.29,101.0,-195.0,298.0,7854,1.0238560813453266
16,173.0,128.79,72.49,-28.28,229.3,144.0,-241.0,370.0,12871,166.55,131.07,69.27,-33.79,228.35,124.0,-242.0,375.0,11992,0.9317069380778494
17,182.69,164.69,74.45,-56.45,272.93,123.0,-246.0,388.0,15506,177.33,109.12,62.24,5.97,224.21,139.0,-246.0,378.0,14906,0.9613053011737392
18,175.81,130.16,66.02,-20.37,239.95,143.0,-243.0,383.0,10375,159.07,77.44,60.93,20.7,175.58,151.0,-247.0,334.0,10465,1.008674698795181
19,176.82,142.27,78.18,-43.63,240.91,130.0,-217.0,369.0,11105,163.38,100.74,58.52,4.12,205.6,134.0,-247.0,380.0,10970,0.9878433138226024
20,184.16,154.87,81.29,-52.0,257.74,103.0,-213.0,382.0,12493,167.58,77.91,70.63,19.04,174.86,160.0,-248.0,305.0,12166,0.9738253421916272
21,175.35,179.53,76.66,-80.84,278.22,31.0,-253.0,373.0,8821,174.36,176.51,82.58,-84.73,268.29,44.0,-244.0,366.0,8548,0.9690511279900238
22,178.16,133.95,74.26,-30.05,237.85,135.0,-243.0,375.0,10777,169.73,163.35,80.79,-74.41,252.29,37.0,-210.0,368.0,10869,1.0085366985246358
23,157.98,103.2,58.59,-3.81,202.59,131.0,-246.0,357.0,10883,160.08,114.35,70.15,-24.42,204.28,125.0,-237.0,362.0,11296,1.0379490949186805
24,142.78,64.35,49.73,28.7,157.4,147.0,-250.0,367.0,8795,157.92,99.7,69.43,-11.21,188.19,123.0,-250.0,352.0,8975,1.0204661739624787
25,164.41,115.07,56.91,-7.57,222.57,160.0,-229.0,387.0,13414,161.78,125.35,60.46,-24.03,226.67,91.0,-235.0,374.0,12779,0.95266139853884
26,174.84,104.7,65.33,4.81,214.21,134.0,-221.0,392.0,12371,150.4,71.43,62.57,16.4,159.26,135.0,-202.0,346.0,12217,0.9875515318082612
27,149.23,70.87,54.69,23.67,165.41,159.0,-249.0,348.0,14261,165.74,128.57,70.97,-33.8,223.34,111.0,-223.0,374.0,13516,0.9477596241497792
28,164.17,128.93,66.55,-31.31,226.55,125.0,-245.0,374.0,10628,158.69,85.92,57.09,15.68,187.52,149.0,-251.0,356.0,10147,0.9547421904403464
29,152.7,95.08,56.62,1.0,191.16,130.0,-245.0,365.0,11883,155.57,119.27,68.31,-32.01,206.53,128.0,-247.0,365.0,11184,0.9411764705882352
30,175.93,84.44,53.26,38.23,207.11,158.0,-245.0,368.0,15876,151.73,51.04,58.43,42.26,144.34,166.0,-229.0,358.0,15077,0.9496724615772236
31,173.3,135.44,72.82,-34.96,235.92,135.0,-240.0,381.0,12048,166.15,150.68,75.52,-60.05,241.31,71.0,-226.0,372.0,11176,0.9276228419654714
32,174.09,144.07,67.02,-37.0,251.14,104.0,-219.0,391.0,10808,150.24,64.44,50.17,35.63,164.51,154.0,-247.0,322.0,10737,0.9934307920059215
33,169.87,139.73,74.75,-44.61,234.85,108.0,-235.0,376.0,13919,148.86,72.64,72.74,3.48,148.76,146.0,-208.0,316.0,12986,0.9329693225088008
34,175.34,133.53,82.05,-40.24,226.82,130.0,-243.0,370.0,11772,150.18,65.23,70.32,14.63,145.09,163.0,-208.0,317.0,11963,1.016224940536867
35,200.65,165.61,81.6,-46.56,284.66,99.0,-188.0,404.0,11339,152.08,55.71,59.09,37.28,148.7,155.0,-250.0,333.0,11386,1.0041449863303642
36,178.94,108.64,62.0,8.3,225.58,150.0,-249.0,407.0,17295,172.94,78.92,63.22,30.8,188.64,153.0,-189.0,370.0,16020,0.9262792714657416
37,182.98,109.32,58.01,15.65,234.29,153.0,-221.0,376.0,7579,147.34,76.59,43.74,27.01,180.19,144.0,-220.0,342.0,7679,1.0131943528169944
38,171.29,143.92,52.57,-25.2,262.64,141.0,-245.0,420.0,12385,176.11,116.2,72.67,-12.76,219.64,162.0,-225.0,374.0,12711,1.0263221639079532
39,170.36,150.47,68.92,-49.03,251.91,109.0,-204.0,380.0,8848,162.68,138.49,73.85,-49.66,227.32,106.0,-217.0,358.0,9034,1.021021699819168
40,171.03,131.96,56.73,-17.66,246.26,93.0,-224.0,397.0,9616,120.93,39.38,49.57,31.98,110.74,139.0,-240.0,355.0,9132,0.949667221297837
41,195.74,154.57,60.99,-19.82,289.32,114.0,-211.0,396.0,14990,125.78,41.3,53.4,31.08,113.68,131.0,-253.0,361.0,14600,0.9739826551034024
42,173.96,111.91,54.07,7.98,231.8,153.0,-239.0,390.0,12283,162.31,88.28,64.82,9.21,185.77,168.0,-246.0,372.0,12178,0.9914515997720428
43,132.93,47.82,43.21,41.9,137.54,149.0,-251.0,341.0,9726,167.64,102.64,56.57,8.43,213.71,143.0,-247.0,363.0,9416,0.9681266707793544
44,181.76,132.31,61.93,-12.48,252.14,146.0,-239.0,392.0,12311,180.14,152.15,67.64,-39.65,264.65,87.0,-248.0,389.0,11583,0.9408658922914468
45,146.92,63.97,50.14,32.81,160.75,150.0,-251.0,306.0,9772,166.5,147.46,67.71,-48.67,246.25,88.0,-239.0,374.0,9245,0.9460704052394596
46,185.1,172.19,72.92,-60.01,284.37,58.0,-182.0,390.0,9629,137.62,64.64,47.6,25.38,154.66,127.0,-247.0,309.0,9520,0.9886800290788244
47,156.22,82.05,40.79,33.38,197.48,145.0,-250.0,381.0,9633,119.06,39.68,37.33,42.05,121.41,153.0,-245.0,319.0,9171,0.952039862971037
48,182.35,125.58,57.48,-0.71,250.45,142.0,-231.0,399.0,11761,165.93,99.48,65.16,1.29,200.25,161.0,-239.0,385.0,11603,0.9865657682169884
49,165.46,98.87,52.5,14.09,211.83,144.0,-248.0,378.0,13431,171.87,114.14,62.02,-4.29,223.99,145.0,-186.0,373.0,12916,0.9616558707467798
50,172.13,101.22,47.39,23.52,225.96,132.0,-249.0,407.0,16419,148.08,58.28,53.11,36.69,153.25,148.0,-237.0,370.0,15767,0.960289908033376
51,180.82,173.63,72.41,-65.22,282.04,47.0,-224.0,392.0,12910,167.72,102.52,66.74,-1.54,203.5,138.0,-236.0,350.0,12624,0.9778466305189776
52,166.61,88.22,46.33,32.06,208.5,140.0,-233.0,383.0,13053,143.61,40.51,45.2,57.9,138.92,182.0,-250.0,300.0,12164,0.9318930514058072
53,163.1,119.69,61.08,-17.67,221.71,103.0,-248.0,407.0,13877,123.79,56.29,48.04,19.46,132.04,138.0,-248.0,313.0,13544,0.9760034589608704
54,163.86,140.74,66.86,-43.74,237.74,94.0,-226.0,386.0,12985,168.47,153.35,66.2,-51.08,255.62,82.0,-244.0,374.0,12440,0.9580284944166346
55,176.87,156.97,67.67,-47.77,266.17,122.0,-243.0,379.0,11090,181.61,158.98,83.27,-60.64,257.32,68.0,-247.0,354.0,10984,0.9904418394950406
56,180.24,166.12,80.14,-66.02,266.22,80.0,-237.0,364.0,9846,162.46,117.75,67.95,-23.24,212.26,137.0,-242.0,363.0,9606,0.975624619134674
57,177.32,138.94,62.56,-24.18,253.7,139.0,-194.0,390.0,17288,188.37,152.75,76.23,-40.61,264.89,123.0,-201.0,380.0,16480,0.9532623785284592
58,171.87,161.63,63.61,-53.37,269.89,80.0,-246.0,374.0,11475,171.01,142.7,70.65,-42.34,243.06,116.0,-236.0,365.0,11105,0.967755991285403
59,176.92,159.51,54.58,-37.17,281.85,103.0,-232.0,408.0,9868,168.44,106.89,59.47,2.08,215.86,147.0,-246.0,356.0,10070,1.0204702067288205
60,184.75,163.04,75.08,-53.37,272.71,108.0,-221.0,381.0,9334,153.57,86.65,57.15,9.77,183.07,140.0,-243.0,343.0,9592,1.0276408827940862
61,178.04,162.37,75.45,-59.78,264.96,92.0,-235.0,385.0,12360,163.48,137.28,73.29,-47.09,227.47,72.0,-241.0,358.0,11889,0.9618932038834952
62,168.71,128.56,61.82,-21.67,235.45,105.0,-246.0,368.0,11900,160.62,141.34,57.68,-38.4,244.28,82.0,-239.0,378.0,11702,0.9833613445378152
63,177.48,160.82,66.64,-49.98,271.66,88.0,-212.0,393.0,9333,159.11,107.72,62.5,-11.11,204.33,102.0,-246.0,351.0,9414,1.008678881388621
64,181.87,180.34,74.25,-72.72,287.96,62.0,-217.0,371.0,11353,159.62,103.04,61.7,-5.12,200.96,137.0,-233.0,370.0,11158,0.9828239231921078
65,180.58,170.23,77.43,-67.08,273.38,103.0,-221.0,378.0,9731,155.03,108.38,56.02,-9.37,207.39,139.0,-248.0,356.0,9379,0.963826944815538
66,174.64,136.31,55.59,-17.26,255.36,153.0,-228.0,404.0,16967,172.43,104.15,58.3,9.98,218.28,165.0,-242.0,387.0,15763,0.9290387222254964
67,188.98,159.28,59.99,-30.29,288.27,115.0,-246.0,404.0,11448,172.72,104.6,50.56,17.56,226.76,155.0,-249.0,386.0,11173,0.9759783368273934
68,176.59,166.19,81.83,-71.43,260.95,89.0,-224.0,366.0,11972,174.42,162.49,83.53,-71.6,253.38,49.0,-246.0,349.0,11603,0.9691780821917808
69,161.48,127.24,66.38,-32.14,222.34,98.0,-242.0,361.0,5960,144.43,85.1,57.64,1.69,171.89,121.0,-230.0,326.0,5885,0.9874161073825504
70,165.69,155.19,76.17,-65.67,244.71,108.0,-223.0,353.0,7591,162.47,151.79,73.74,-63.06,240.52,87.0,-246.0,367.0,7408,0.975892504281386
71,160.25,122.99,63.09,-25.83,220.15,139.0,-250.0,350.0,9645,159.55,145.4,62.61,-48.46,242.34,107.0,-250.0,355.0,9107,0.9442198030067392
72,145.76,59.79,48.11,37.86,157.44,146.0,-246.0,335.0,8926,126.3,54.44,45.88,25.98,134.86,115.0,-243.0,313.0,8542,0.9569796101277168
73,148.75,78.51,52.2,18.04,175.06,137.0,-187.0,399.0,12012,152.25,99.22,61.9,-8.87,189.57,143.0,-236.0,360.0,11950,0.9948384948384948
74,122.42,46.44,49.48,26.5,119.38,132.0,-249.0,311.0,10441,145.27,69.81,52.21,23.25,162.87,152.0,-175.0,363.0,9958,0.953740063212336
75,175.99,166.51,71.1,-61.62,271.4,98.0,-250.0,374.0,9825,168.83,140.26,69.73,-41.16,239.36,84.0,-238.0,376.0,9338,0.9504325699745548
76,174.99,149.47,63.17,-37.65,261.29,99.0,-243.0,395.0,14465,174.38,154.38,68.02,-48.02,260.74,98.0,-219.0,393.0,14104,0.9750432077428276
77,178.92,174.3,74.27,-69.65,278.95,68.0,-248.0,372.0,10101,177.15,151.26,76.69,-50.8,251.72,110.0,-234.0,361.0,10300,1.0197010197010197
78,174.27,165.86,71.75,-63.34,268.38,113.0,-214.0,367.0,11547,169.3,158.94,73.64,-63.28,254.6,57.0,-220.0,360.0,11074,0.9590369793019832
79,179.39,183.44,76.66,-80.71,286.17,22.0,-206.0,388.0,8266,168.7,124.75,62.45,-18.5,231.0,124.0,-249.0,374.0,7986,0.9661263005081054
80,151.22,100.29,51.98,-1.05,199.53,131.0,-246.0,362.0,7587,159.21,144.67,64.55,-50.01,239.33,70.0,-245.0,362.0,7330,0.9661262686173718
81,170.59,124.9,61.0,-15.31,234.49,128.0,-248.0,373.0,8804,167.69,122.19,65.07,-19.57,224.81,137.0,-235.0,373.0,8683,0.9862562471603816
82,176.88,171.4,72.37,-66.89,275.91,105.0,-247.0,374.0,9609,159.95,114.28,63.31,-17.64,210.92,138.0,-246.0,362.0,9512,0.989905297117286
83,165.7,160.52,66.6,-61.42,259.62,70.0,-239.0,377.0,6619,164.41,158.51,76.69,-70.79,246.23,72.0,-248.0,361.0,6490,0.9805106511557636
84,177.7,165.25,69.04,-56.59,273.91,85.0,-239.0,372.0,10337,164.19,114.79,58.61,-9.21,220.37,121.0,-246.0,361.0,10074,0.9745574151107672
85,171.14,163.37,65.97,-58.2,268.54,61.0,-217.0,385.0,11208,160.77,150.11,62.98,-52.32,247.9,104.0,-248.0,365.0,10681,0.9529800142755176
86,162.33,162.26,65.8,-65.73,258.79,38.0,-247.0,368.0,9011,154.89,139.61,59.56,-44.28,234.94,83.0,-246.0,376.0,8795,0.9760292975252468
87,174.9,153.87,67.49,-46.46,261.28,103.0,-235.0,384.0,9117,169.6,145.64,67.9,-43.94,247.34,111.0,-220.0,372.0,9266,1.0163430953164418
