1_Rtot,1_Ravg,1_Gtot,1_Gavg,1_Btot,1_Bavg,1_size,1_g_r,1_b_r,1_rg_r,1_rb_r,1_gb_r,1_rgb_r,1_r_g,1_b_g,1_rg_g,1_rb_g,1_gb_g,1_rgb_g,1_r_b,1_g_b,1_rg_b,1_rb_b,1_gb_b,1_rgb_b,1_r_rg,1_g_rg,1_b_rg,1_rb_rg,1_gb_rg,1_rgb_rg,1_r_rb,1_g_rb,1_b_rb,1_rg_rb,1_gb_rb,1_rgb_rb,1_r_gb,1_g_gb,1_b_gb,1_rg_gb,1_rb_gb,1_rgb_gb,1_r_rgb,1_g_rgb,1_b_rgb,1_rg_rgb,1_rb_rgb,1_gb_rgb,2_Rtot,2_Ravg,2_Gtot,2_Gavg,2_Btot,2_Bavg,2_size,2_g_r,2_b_r,2_rg_r,2_rb_r,2_gb_r,2_rgb_r,2_r_g,2_b_g,2_rg_g,2_rb_g,2_gb_g,2_rgb_g,2_r_b,2_g_b,2_rg_b,2_rb_b,2_gb_b,2_rgb_b,2_r_rg,2_g_rg,2_b_rg,2_rb_rg,2_gb_rg,2_rgb_rg,2_r_rb,2_g_rb,2_b_rb,2_rg_rb,2_gb_rb,2_rgb_rb,2_r_gb,2_g_gb,2_b_gb,2_rg_gb,2_rb_gb,2_rgb_gb,2_r_rgb,2_g_rgb,2_b_rgb,2_rg_rgb,2_rb_rgb,2_gb_rgb,3_Rtot,3_Ravg,3_Gtot,3_Gavg,3_Btot,3_Bavg,3_size,3_g_r,3_b_r,3_rg_r,3_rb_r,3_gb_r,3_rgb_r,3_r_g,3_b_g,3_rg_g,3_rb_g,3_gb_g,3_rgb_g,3_r_b,3_g_b,3_rg_b,3_rb_b,3_gb_b,3_rgb_b,3_r_rg,3_g_rg,3_b_rg,3_rb_rg,3_gb_rg,3_rgb_rg,3_r_rb,3_g_rb,3_b_rb,3_rg_rb,3_gb_rb,3_rgb_rb,3_r_gb,3_g_gb,3_b_gb,3_rg_gb,3_rb_gb,3_rgb_gb,3_r_rgb,3_g_rgb,3_b_rgb,3_rg_rgb,3_rb_rgb,3_gb_rgb,4_Rtot,4_Ravg,4_Gtot,4_Gavg,4_Btot,4_Bavg,4_size,4_g_r,4_b_r,4_rg_r,4_rb_r,4_gb_r,4_rgb_r,4_r_g,4_b_g,4_rg_g,4_rb_g,4_gb_g,4_rgb_g,4_r_b,4_g_b,4_rg_b,4_rb_b,4_gb_b,4_rgb_b,4_r_rg,4_g_rg,4_b_rg,4_rb_rg,4_gb_rg,4_rgb_rg,4_r_rb,4_g_rb,4_b_rb,4_rg_rb,4_gb_rb,4_rgb_rb,4_r_gb,4_g_gb,4_b_gb,4_rg_gb,4_rb_gb,4_rgb_gb,4_r_rgb,4_g_rgb,4_b_rgb,4_rg_rgb,4_rb_rgb,4_gb_rgb,5_Rtot,5_Ravg,5_Gtot,5_Gavg,5_Btot,5_Bavg,5_size,5_g_r,5_b_r,5_rg_r,5_rb_r,5_gb_r,5_rgb_r,5_r_g,5_b_g,5_rg_g,5_rb_g,5_gb_g,5_rgb_g,5_r_b,5_g_b,5_rg_b,5_rb_b,5_gb_b,5_rgb_b,5_r_rg,5_g_rg,5_b_rg,5_rb_rg,5_gb_rg,5_rgb_rg,5_r_rb,5_g_rb,5_b_rb,5_rg_rb,5_gb_rb,5_rgb_rb,5_r_gb,5_g_gb,5_b_gb,5_rg_gb,5_rb_gb,5_rgb_gb,5_r_rgb,5_g_rgb,5_b_rgb,5_rg_rgb,5_rb_rgb,5_gb_rgb,6_Rtot,6_Ravg,6_Gtot,6_Gavg,6_Btot,6_Bavg,6_size,6_g_r,6_b_r,6_rg_r,6_rb_r,6_gb_r,6_rgb_r,6_r_g,6_b_g,6_rg_g,6_rb_g,6_gb_g,6_rgb_g,6_r_b,6_g_b,6_rg_b,6_rb_b,6_gb_b,6_rgb_b,6_r_rg,6_g_rg,6_b_rg,6_rb_rg,6_gb_rg,6_rgb_rg,6_r_rb,6_g_rb,6_b_rb,6_rg_rb,6_gb_rb,6_rgb_rb,6_r_gb,6_g_gb,6_b_gb,6_rg_gb,6_rb_gb,6_rgb_gb,6_r_rgb,6_g_rgb,6_b_rgb,6_rg_rgb,6_rb_rgb,6_gb_rgb,Sweetness
1957.98,0.18,960.11,0.09,471.38,0.04,10713,0.49,0.24,1.49,1.24,0.73,1.73,2.04,0.49,3.04,2.53,1.49,3.53,4.15,2.04,6.19,5.15,3.04,7.19,0.67,0.33,0.16,0.83,0.49,1.16,0.81,0.4,0.19,1.2,0.59,1.4,1.37,0.67,0.33,2.04,1.7,2.37,0.58,0.28,0.14,0.86,0.72,0.42,1427.3,0.14,327.68,0.03,460.26,0.05,10047,0.23,0.32,1.23,1.32,0.55,1.55,4.36,1.4,5.36,5.76,2.4,6.76,3.1,0.71,3.81,4.1,1.71,4.81,0.81,0.19,0.26,1.08,0.45,1.26,0.76,0.17,0.24,0.93,0.42,1.17,1.81,0.42,0.58,2.23,2.4,2.81,0.64,0.15,0.21,0.79,0.85,0.36,1492.91,0.15,261.48,0.03,408.2,0.04,9854,0.18,0.27,1.18,1.27,0.45,1.45,5.71,1.56,6.71,7.27,2.56,8.27,3.66,0.64,4.3,4.66,1.64,5.3,0.85,0.15,0.23,1.08,0.38,1.23,0.79,0.14,0.21,0.92,0.35,1.14,2.23,0.39,0.61,2.62,2.84,3.23,0.69,0.12,0.19,0.81,0.88,0.31,1718.82,0.17,366.34,0.04,507.3,0.05,10077,0.21,0.3,1.21,1.3,0.51,1.51,4.69,1.38,5.69,6.08,2.38,7.08,3.39,0.72,4.11,4.39,1.72,5.11,0.82,0.18,0.24,1.07,0.42,1.24,0.77,0.16,0.23,0.94,0.39,1.16,1.97,0.42,0.58,2.39,2.55,2.97,0.66,0.14,0.2,0.8,0.86,0.34,1762.83,0.18,619.16,0.06,378.07,0.04,10062,0.35,0.21,1.35,1.21,0.57,1.57,2.85,0.61,3.85,3.46,1.61,4.46,4.66,1.64,6.3,5.66,2.64,7.3,0.74,0.26,0.16,0.9,0.42,1.16,0.82,0.29,0.18,1.11,0.47,1.29,1.77,0.62,0.38,2.39,2.15,2.77,0.64,0.22,0.14,0.86,0.78,0.36,1543.28,0.15,411.15,0.04,392.82,0.04,9963,0.27,0.25,1.27,1.25,0.52,1.52,3.75,0.96,4.75,4.71,1.96,5.71,3.93,1.05,4.98,4.93,2.05,5.98,0.79,0.21,0.2,0.99,0.41,1.2,0.8,0.21,0.2,1.01,0.42,1.21,1.92,0.51,0.49,2.43,2.41,2.92,0.66,0.18,0.17,0.83,0.82,0.34,High
2077.25,0.18,1402.68,0.12,793.2,0.07,11686,0.68,0.38,1.68,1.38,1.06,2.06,1.48,0.57,2.48,2.05,1.57,3.05,2.62,1.77,4.39,3.62,2.77,5.39,0.6,0.4,0.23,0.82,0.63,1.23,0.72,0.49,0.28,1.21,0.76,1.49,0.95,0.64,0.36,1.58,1.31,1.95,0.49,0.33,0.19,0.81,0.67,0.51,1388.53,0.12,436.01,0.04,593.63,0.05,11527,0.31,0.43,1.31,1.43,0.74,1.74,3.18,1.36,4.18,4.55,2.36,5.55,2.34,0.73,3.07,3.34,1.73,4.07,0.76,0.24,0.33,1.09,0.56,1.33,0.7,0.22,0.3,0.92,0.52,1.22,1.35,0.42,0.58,1.77,1.93,2.35,0.57,0.18,0.25,0.75,0.82,0.43,1307.5,0.12,326.46,0.03,469.53,0.04,10749,0.25,0.36,1.25,1.36,0.61,1.61,4.01,1.44,5.01,5.44,2.44,6.44,2.78,0.7,3.48,3.78,1.7,4.48,0.8,0.2,0.29,1.09,0.49,1.29,0.74,0.18,0.26,0.92,0.45,1.18,1.64,0.41,0.59,2.05,2.23,2.64,0.62,0.16,0.22,0.78,0.84,0.38,1455.35,0.13,413.24,0.04,566.76,0.05,10920,0.28,0.39,1.28,1.39,0.67,1.67,3.52,1.37,4.52,4.89,2.37,5.89,2.57,0.73,3.3,3.57,1.73,4.3,0.78,0.22,0.3,1.08,0.52,1.3,0.72,0.2,0.28,0.92,0.48,1.2,1.49,0.42,0.58,1.91,2.06,2.49,0.6,0.17,0.23,0.77,0.83,0.4,1894.9,0.18,865.09,0.08,634.23,0.06,10749,0.46,0.33,1.46,1.33,0.79,1.79,2.19,0.73,3.19,2.92,1.73,3.92,2.99,1.36,4.35,3.99,2.36,5.35,0.69,0.31,0.23,0.92,0.54,1.23,0.75,0.34,0.25,1.09,0.59,1.34,1.26,0.58,0.42,1.84,1.69,2.26,0.56,0.25,0.19,0.81,0.75,0.44,1668.28,0.15,613.01,0.06,526.53,0.05,11008,0.37,0.32,1.37,1.32,0.68,1.68,2.72,0.86,3.72,3.58,1.86,4.58,3.17,1.16,4.33,4.17,2.16,5.33,0.73,0.27,0.23,0.96,0.5,1.23,0.76,0.28,0.24,1.04,0.52,1.28,1.46,0.54,0.46,2,1.93,2.46,0.59,0.22,0.19,0.81,0.78,0.41,Medium
2134.69,0.18,1217.86,0.1,653.45,0.05,12049,0.57,0.31,1.57,1.31,0.88,1.88,1.75,0.54,2.75,2.29,1.54,3.29,3.27,1.86,5.13,4.27,2.86,6.13,0.64,0.36,0.19,0.83,0.56,1.19,0.77,0.44,0.23,1.2,0.67,1.44,1.14,0.65,0.35,1.79,1.49,2.14,0.53,0.3,0.16,0.84,0.7,0.47,1568.78,0.14,447.21,0.04,573.77,0.05,11393,0.29,0.37,1.29,1.37,0.65,1.65,3.51,1.28,4.51,4.79,2.28,5.79,2.73,0.78,3.51,3.73,1.78,4.51,0.78,0.22,0.28,1.06,0.51,1.28,0.73,0.21,0.27,0.94,0.48,1.21,1.54,0.44,0.56,1.97,2.1,2.54,0.61,0.17,0.22,0.78,0.83,0.39,1349.5,0.11,287.27,0.02,517.9,0.04,11853,0.21,0.38,1.21,1.38,0.6,1.6,4.7,1.8,5.7,6.5,2.8,7.5,2.61,0.55,3.16,3.61,1.55,4.16,0.82,0.18,0.32,1.14,0.49,1.32,0.72,0.15,0.28,0.88,0.43,1.15,1.68,0.36,0.64,2.03,2.32,2.68,0.63,0.13,0.24,0.76,0.87,0.37,1428.74,0.13,386.71,0.03,525.95,0.05,11066,0.27,0.37,1.27,1.37,0.64,1.64,3.69,1.36,4.69,5.05,2.36,6.05,2.72,0.74,3.45,3.72,1.74,4.45,0.79,0.21,0.29,1.08,0.5,1.29,0.73,0.2,0.27,0.93,0.47,1.2,1.57,0.42,0.58,1.99,2.14,2.57,0.61,0.17,0.22,0.78,0.83,0.39,2168.69,0.18,870.35,0.07,499.73,0.04,11919,0.4,0.23,1.4,1.23,0.63,1.63,2.49,0.57,3.49,3.07,1.57,4.07,4.34,1.74,6.08,5.34,2.74,7.08,0.71,0.29,0.16,0.88,0.45,1.16,0.81,0.33,0.19,1.14,0.51,1.33,1.58,0.64,0.36,2.22,1.95,2.58,0.61,0.25,0.14,0.86,0.75,0.39,1860.69,0.16,684.94,0.06,485.96,0.04,11412,0.37,0.26,1.37,1.26,0.63,1.63,2.72,0.71,3.72,3.43,1.71,4.43,3.83,1.41,5.24,4.83,2.41,6.24,0.73,0.27,0.19,0.92,0.46,1.19,0.79,0.29,0.21,1.08,0.5,1.29,1.59,0.58,0.42,2.17,2,2.59,0.61,0.23,0.16,0.84,0.77,0.39,High
2789.47,0.19,2544.77,0.17,1105.37,0.07,14934,0.91,0.4,1.91,1.4,1.31,2.31,1.1,0.43,2.1,1.53,1.43,2.53,2.52,2.3,4.83,3.52,3.3,5.83,0.52,0.48,0.21,0.73,0.68,1.21,0.72,0.65,0.28,1.37,0.94,1.65,0.76,0.7,0.3,1.46,1.07,1.76,0.43,0.4,0.17,0.83,0.6,0.57,2319.37,0.16,983.02,0.07,953.44,0.06,14863,0.42,0.41,1.42,1.41,0.83,1.83,2.36,0.97,3.36,3.33,1.97,4.33,2.43,1.03,3.46,3.43,2.03,4.46,0.7,0.3,0.29,0.99,0.59,1.29,0.71,0.3,0.29,1.01,0.59,1.3,1.2,0.51,0.49,1.71,1.69,2.2,0.54,0.23,0.22,0.78,0.77,0.46,2574.06,0.18,1071.07,0.07,818.6,0.06,14496,0.42,0.32,1.42,1.32,0.73,1.73,2.4,0.76,3.4,3.17,1.76,4.17,3.14,1.31,4.45,4.14,2.31,5.45,0.71,0.29,0.22,0.93,0.52,1.22,0.76,0.32,0.24,1.07,0.56,1.32,1.36,0.57,0.43,1.93,1.8,2.36,0.58,0.24,0.18,0.82,0.76,0.42,2407.99,0.17,1134.61,0.08,768.5,0.05,14022,0.47,0.32,1.47,1.32,0.79,1.79,2.12,0.68,3.12,2.8,1.68,3.8,3.13,1.48,4.61,4.13,2.48,5.61,0.68,0.32,0.22,0.9,0.54,1.22,0.76,0.36,0.24,1.12,0.6,1.36,1.27,0.6,0.4,1.86,1.67,2.27,0.56,0.26,0.18,0.82,0.74,0.44,2639.64,0.18,1786.07,0.12,916.84,0.06,14577,0.68,0.35,1.68,1.35,1.02,2.02,1.48,0.51,2.48,1.99,1.51,2.99,2.88,1.95,4.83,3.88,2.95,5.83,0.6,0.4,0.21,0.8,0.61,1.21,0.74,0.5,0.26,1.24,0.76,1.5,0.98,0.66,0.34,1.64,1.32,1.98,0.49,0.33,0.17,0.83,0.67,0.51,2473.63,0.17,1165.29,0.08,727.78,0.05,14611,0.47,0.29,1.47,1.29,0.77,1.77,2.12,0.62,3.12,2.75,1.62,3.75,3.4,1.6,5,4.4,2.6,6,0.68,0.32,0.2,0.88,0.52,1.2,0.77,0.36,0.23,1.14,0.59,1.36,1.31,0.62,0.38,1.92,1.69,2.31,0.57,0.27,0.17,0.83,0.73,0.43,High
2024.02,0.16,1188.85,0.09,813.37,0.06,12888,0.59,0.4,1.59,1.4,0.99,1.99,1.7,0.68,2.7,2.39,1.68,3.39,2.49,1.46,3.95,3.49,2.46,4.95,0.63,0.37,0.25,0.88,0.62,1.25,0.71,0.42,0.29,1.13,0.71,1.42,1.01,0.59,0.41,1.6,1.42,2.01,0.5,0.3,0.2,0.8,0.7,0.5,2112.81,0.17,1436.76,0.12,976.02,0.08,12466,0.68,0.46,1.68,1.46,1.14,2.14,1.47,0.68,2.47,2.15,1.68,3.15,2.16,1.47,3.64,3.16,2.47,4.64,0.6,0.4,0.27,0.87,0.68,1.27,0.68,0.47,0.32,1.15,0.78,1.47,0.88,0.6,0.4,1.47,1.28,1.88,0.47,0.32,0.22,0.78,0.68,0.53,1527.47,0.13,469.51,0.04,612.26,0.05,12149,0.31,0.4,1.31,1.4,0.71,1.71,3.25,1.3,4.25,4.56,2.3,5.56,2.49,0.77,3.26,3.49,1.77,4.26,0.76,0.24,0.31,1.07,0.54,1.31,0.71,0.22,0.29,0.93,0.51,1.22,1.41,0.43,0.57,1.85,1.98,2.41,0.59,0.18,0.23,0.77,0.82,0.41,2297.9,0.18,1541.9,0.12,833.06,0.07,12800,0.67,0.36,1.67,1.36,1.03,2.03,1.49,0.54,2.49,2.03,1.54,3.03,2.76,1.85,4.61,3.76,2.85,5.61,0.6,0.4,0.22,0.82,0.62,1.22,0.73,0.49,0.27,1.23,0.76,1.49,0.97,0.65,0.35,1.62,1.32,1.97,0.49,0.33,0.18,0.82,0.67,0.51,2319.13,0.18,1700.93,0.13,916.32,0.07,13235,0.73,0.4,1.73,1.4,1.13,2.13,1.36,0.54,2.36,1.9,1.54,2.9,2.53,1.86,4.39,3.53,2.86,5.39,0.58,0.42,0.23,0.8,0.65,1.23,0.72,0.53,0.28,1.24,0.81,1.53,0.89,0.65,0.35,1.54,1.24,1.89,0.47,0.34,0.19,0.81,0.66,0.53,1643.53,0.13,551.81,0.04,707.17,0.06,12663,0.34,0.43,1.34,1.43,0.77,1.77,2.98,1.28,3.98,4.26,2.28,5.26,2.32,0.78,3.1,3.32,1.78,4.1,0.75,0.25,0.32,1.07,0.57,1.32,0.7,0.23,0.3,0.93,0.54,1.23,1.31,0.44,0.56,1.74,1.87,2.31,0.57,0.19,0.24,0.76,0.81,0.43,High
1761.87,0.17,1536.57,0.15,747.62,0.07,10413,0.87,0.42,1.87,1.42,1.3,2.3,1.15,0.49,2.15,1.63,1.49,2.63,2.36,2.06,4.41,3.36,3.06,5.41,0.53,0.47,0.23,0.76,0.69,1.23,0.7,0.61,0.3,1.31,0.91,1.61,0.77,0.67,0.33,1.44,1.1,1.77,0.44,0.38,0.18,0.82,0.62,0.56,1767.48,0.17,1386.73,0.14,779.32,0.08,10230,0.78,0.44,1.78,1.44,1.23,2.23,1.27,0.56,2.27,1.84,1.56,2.84,2.27,1.78,4.05,3.27,2.78,5.05,0.56,0.44,0.25,0.81,0.69,1.25,0.69,0.54,0.31,1.24,0.85,1.54,0.82,0.64,0.36,1.46,1.18,1.82,0.45,0.35,0.2,0.8,0.65,0.55,1530.63,0.15,444.71,0.04,414.5,0.04,9936,0.29,0.27,1.29,1.27,0.56,1.56,3.44,0.93,4.44,4.37,1.93,5.37,3.69,1.07,4.77,4.69,2.07,5.77,0.77,0.23,0.21,0.98,0.43,1.21,0.79,0.23,0.21,1.02,0.44,1.23,1.78,0.52,0.48,2.3,2.26,2.78,0.64,0.19,0.17,0.83,0.81,0.36,1728.2,0.17,1514.47,0.15,768.35,0.08,10124,0.88,0.44,1.88,1.44,1.32,2.32,1.14,0.51,2.14,1.65,1.51,2.65,2.25,1.97,4.22,3.25,2.97,5.22,0.53,0.47,0.24,0.77,0.7,1.24,0.69,0.61,0.31,1.3,0.91,1.61,0.76,0.66,0.34,1.42,1.09,1.76,0.43,0.38,0.19,0.81,0.62,0.57,1846.93,0.18,1786.54,0.18,865.14,0.09,10096,0.97,0.47,1.97,1.47,1.44,2.44,1.03,0.48,2.03,1.52,1.48,2.52,2.13,2.07,4.2,3.13,3.07,5.2,0.51,0.49,0.24,0.75,0.73,1.24,0.68,0.66,0.32,1.34,0.98,1.66,0.7,0.67,0.33,1.37,1.02,1.7,0.41,0.4,0.19,0.81,0.6,0.59,1718.8,0.17,1024.15,0.1,611.27,0.06,9972,0.6,0.36,1.6,1.36,0.95,1.95,1.68,0.6,2.68,2.28,1.6,3.28,2.81,1.68,4.49,3.81,2.68,5.49,0.63,0.37,0.22,0.85,0.6,1.22,0.74,0.44,0.26,1.18,0.7,1.44,1.05,0.63,0.37,1.68,1.42,2.05,0.51,0.31,0.18,0.82,0.69,0.49,Medium
2298.32,0.18,1617.72,0.13,776.32,0.06,12698,0.7,0.34,1.7,1.34,1.04,2.04,1.42,0.48,2.42,1.9,1.48,2.9,2.96,2.08,5.04,3.96,3.08,6.04,0.59,0.41,0.2,0.79,0.61,1.2,0.75,0.53,0.25,1.27,0.78,1.53,0.96,0.68,0.32,1.64,1.28,1.96,0.49,0.34,0.17,0.83,0.66,0.51,2260.21,0.19,1638.5,0.13,896.32,0.07,12197,0.72,0.4,1.72,1.4,1.12,2.12,1.38,0.55,2.38,1.93,1.55,2.93,2.52,1.83,4.35,3.52,2.83,5.35,0.58,0.42,0.23,0.81,0.65,1.23,0.72,0.52,0.28,1.24,0.8,1.52,0.89,0.65,0.35,1.54,1.25,1.89,0.47,0.34,0.19,0.81,0.66,0.53,2191.05,0.18,676.88,0.06,740.18,0.06,12163,0.31,0.34,1.31,1.34,0.65,1.65,3.24,1.09,4.24,4.33,2.09,5.33,2.96,0.91,3.87,3.96,1.91,4.87,0.76,0.24,0.26,1.02,0.49,1.26,0.75,0.23,0.25,0.98,0.48,1.23,1.55,0.48,0.52,2.02,2.07,2.55,0.61,0.19,0.21,0.79,0.81,0.39,2365.82,0.19,1329.45,0.11,801.78,0.07,12234,0.56,0.34,1.56,1.34,0.9,1.9,1.78,0.6,2.78,2.38,1.6,3.38,2.95,1.66,4.61,3.95,2.66,5.61,0.64,0.36,0.22,0.86,0.58,1.22,0.75,0.42,0.25,1.17,0.67,1.42,1.11,0.62,0.38,1.73,1.49,2.11,0.53,0.3,0.18,0.82,0.7,0.47,2478.32,0.2,1463.12,0.12,833.54,0.07,12502,0.59,0.34,1.59,1.34,0.93,1.93,1.69,0.57,2.69,2.26,1.57,3.26,2.97,1.76,4.73,3.97,2.76,5.73,0.63,0.37,0.21,0.84,0.58,1.21,0.75,0.44,0.25,1.19,0.69,1.44,1.08,0.64,0.36,1.72,1.44,2.08,0.52,0.31,0.17,0.83,0.69,0.48,2346.14,0.19,1130.25,0.09,664.41,0.05,12331,0.48,0.28,1.48,1.28,0.76,1.76,2.08,0.59,3.08,2.66,1.59,3.66,3.53,1.7,5.23,4.53,2.7,6.23,0.67,0.33,0.19,0.87,0.52,1.19,0.78,0.38,0.22,1.15,0.6,1.38,1.31,0.63,0.37,1.94,1.68,2.31,0.57,0.27,0.16,0.84,0.73,0.43,Medium
2121.13,0.17,1878.7,0.15,859.74,0.07,12179,0.89,0.41,1.89,1.41,1.29,2.29,1.13,0.46,2.13,1.59,1.46,2.59,2.47,2.19,4.65,3.47,3.19,5.65,0.53,0.47,0.21,0.75,0.68,1.21,0.71,0.63,0.29,1.34,0.92,1.63,0.77,0.69,0.31,1.46,1.09,1.77,0.44,0.39,0.18,0.82,0.61,0.56,1897.63,0.17,948.25,0.08,687.73,0.06,11251,0.5,0.36,1.5,1.36,0.86,1.86,2,0.73,3,2.73,1.73,3.73,2.76,1.38,4.14,3.76,2.38,5.14,0.67,0.33,0.24,0.91,0.57,1.24,0.73,0.37,0.27,1.1,0.63,1.37,1.16,0.58,0.42,1.74,1.58,2.16,0.54,0.27,0.19,0.81,0.73,0.46,1716.22,0.16,526.68,0.05,526.15,0.05,10672,0.31,0.31,1.31,1.31,0.61,1.61,3.26,1,4.26,4.26,2,5.26,3.26,1,4.26,4.26,2,5.26,0.77,0.23,0.23,1,0.47,1.23,0.77,0.23,0.23,1,0.47,1.23,1.63,0.5,0.5,2.13,2.13,2.63,0.62,0.19,0.19,0.81,0.81,0.38,1830.58,0.16,951.79,0.08,631.8,0.06,11314,0.52,0.35,1.52,1.35,0.87,1.87,1.92,0.66,2.92,2.59,1.66,3.59,2.9,1.51,4.4,3.9,2.51,5.4,0.66,0.34,0.23,0.88,0.57,1.23,0.74,0.39,0.26,1.13,0.64,1.39,1.16,0.6,0.4,1.76,1.55,2.16,0.54,0.28,0.19,0.81,0.72,0.46,1874.81,0.18,1569.73,0.15,694.12,0.07,10407,0.84,0.37,1.84,1.37,1.21,2.21,1.19,0.44,2.19,1.64,1.44,2.64,2.7,2.26,4.96,3.7,3.26,5.96,0.54,0.46,0.2,0.75,0.66,1.2,0.73,0.61,0.27,1.34,0.88,1.61,0.83,0.69,0.31,1.52,1.13,1.83,0.45,0.38,0.17,0.83,0.62,0.55,2170.25,0.19,1837.86,0.16,954.18,0.08,11600,0.85,0.44,1.85,1.44,1.29,2.29,1.18,0.52,2.18,1.7,1.52,2.7,2.27,1.93,4.2,3.27,2.93,5.2,0.54,0.46,0.24,0.78,0.7,1.24,0.69,0.59,0.31,1.28,0.89,1.59,0.78,0.66,0.34,1.44,1.12,1.78,0.44,0.37,0.19,0.81,0.63,0.56,High
2209.74,0.19,1813.62,0.16,859.75,0.07,11589,0.82,0.39,1.82,1.39,1.21,2.21,1.22,0.47,2.22,1.69,1.47,2.69,2.57,2.11,4.68,3.57,3.11,5.68,0.55,0.45,0.21,0.76,0.66,1.21,0.72,0.59,0.28,1.31,0.87,1.59,0.83,0.68,0.32,1.5,1.15,1.83,0.45,0.37,0.18,0.82,0.63,0.55,2018.78,0.18,1763.92,0.16,943.75,0.08,11207,0.87,0.47,1.87,1.47,1.34,2.34,1.14,0.54,2.14,1.68,1.54,2.68,2.14,1.87,4.01,3.14,2.87,5.01,0.53,0.47,0.25,0.78,0.72,1.25,0.68,0.6,0.32,1.28,0.91,1.6,0.75,0.65,0.35,1.4,1.09,1.75,0.43,0.37,0.2,0.8,0.63,0.57,2149.11,0.19,867.81,0.08,658.4,0.06,11370,0.4,0.31,1.4,1.31,0.71,1.71,2.48,0.76,3.48,3.24,1.76,4.24,3.26,1.32,4.58,4.26,2.32,5.58,0.71,0.29,0.22,0.93,0.51,1.22,0.77,0.31,0.23,1.07,0.54,1.31,1.41,0.57,0.43,1.98,1.84,2.41,0.58,0.24,0.18,0.82,0.76,0.42,2353.02,0.2,1584.85,0.14,917.51,0.08,11618,0.67,0.39,1.67,1.39,1.06,2.06,1.48,0.58,2.48,2.06,1.58,3.06,2.56,1.73,4.29,3.56,2.73,5.29,0.6,0.4,0.23,0.83,0.64,1.23,0.72,0.48,0.28,1.2,0.77,1.48,0.94,0.63,0.37,1.57,1.31,1.94,0.48,0.33,0.19,0.81,0.67,0.52,2296.85,0.21,1990.97,0.18,1041.39,0.09,11157,0.87,0.45,1.87,1.45,1.32,2.32,1.15,0.52,2.15,1.68,1.52,2.68,2.21,1.91,4.12,3.21,2.91,5.12,0.54,0.46,0.24,0.78,0.71,1.24,0.69,0.6,0.31,1.28,0.91,1.6,0.76,0.66,0.34,1.41,1.1,1.76,0.43,0.37,0.2,0.8,0.63,0.57,2377.73,0.2,1841.68,0.16,1020.04,0.09,11646,0.77,0.43,1.77,1.43,1.2,2.2,1.29,0.55,2.29,1.84,1.55,2.84,2.33,1.81,4.14,3.33,2.81,5.14,0.56,0.44,0.24,0.81,0.68,1.24,0.7,0.54,0.3,1.24,0.84,1.54,0.83,0.64,0.36,1.47,1.19,1.83,0.45,0.35,0.19,0.81,0.65,0.55,Medium
1931.33,0.18,1261.33,0.12,755.46,0.07,10823,0.65,0.39,1.65,1.39,1.04,2.04,1.53,0.6,2.53,2.13,1.6,3.13,2.56,1.67,4.23,3.56,2.67,5.23,0.6,0.4,0.24,0.84,0.63,1.24,0.72,0.47,0.28,1.19,0.75,1.47,0.96,0.63,0.37,1.58,1.33,1.96,0.49,0.32,0.19,0.81,0.68,0.51,1350.29,0.13,418.96,0.04,502.99,0.05,10215,0.31,0.37,1.31,1.37,0.68,1.68,3.22,1.2,4.22,4.42,2.2,5.42,2.68,0.83,3.52,3.68,1.83,4.52,0.76,0.24,0.28,1.05,0.52,1.28,0.73,0.23,0.27,0.95,0.5,1.23,1.46,0.45,0.55,1.92,2.01,2.46,0.59,0.18,0.22,0.78,0.82,0.41,1490.31,0.14,406.57,0.04,516.82,0.05,10490,0.27,0.35,1.27,1.35,0.62,1.62,3.67,1.27,4.67,4.94,2.27,5.94,2.88,0.79,3.67,3.88,1.79,4.67,0.79,0.21,0.27,1.06,0.49,1.27,0.74,0.2,0.26,0.95,0.46,1.2,1.61,0.44,0.56,2.05,2.17,2.61,0.62,0.17,0.21,0.79,0.83,0.38,1654.42,0.16,709.46,0.07,595.34,0.06,10195,0.43,0.36,1.43,1.36,0.79,1.79,2.33,0.84,3.33,3.17,1.84,4.17,2.78,1.19,3.97,3.78,2.19,4.97,0.7,0.3,0.25,0.95,0.55,1.25,0.74,0.32,0.26,1.05,0.58,1.32,1.27,0.54,0.46,1.81,1.72,2.27,0.56,0.24,0.2,0.8,0.76,0.44,1756.67,0.17,960.06,0.09,582.94,0.06,10427,0.55,0.33,1.55,1.33,0.88,1.88,1.83,0.61,2.83,2.44,1.61,3.44,3.01,1.65,4.66,4.01,2.65,5.66,0.65,0.35,0.21,0.86,0.57,1.21,0.75,0.41,0.25,1.16,0.66,1.41,1.14,0.62,0.38,1.76,1.52,2.14,0.53,0.29,0.18,0.82,0.71,0.47,1533.11,0.15,548.9,0.05,524.07,0.05,10269,0.36,0.34,1.36,1.34,0.7,1.7,2.79,0.95,3.79,3.75,1.95,4.75,2.93,1.05,3.97,3.93,2.05,4.97,0.74,0.26,0.25,0.99,0.52,1.25,0.75,0.27,0.25,1.01,0.52,1.27,1.43,0.51,0.49,1.94,1.92,2.43,0.59,0.21,0.2,0.8,0.79,0.41,High
