red, green, blue, H, S, V, r, rg, most_red, least_red, most_yellow
184.66,90.55,44.45,20.3,197.09,184.66,49.66,230.76,157.0,-208.0,368.0
143.38,32.91,46.23,143.37,202.06,143.38,64.24,130.06,154.0,-239.0,335.0
152.75,26.75,41.77,139.29,214.57,152.75,84.23,137.73,167.0,-248.0,300.0
172.13,36.68,50.8,127.34,204.74,172.13,84.65,158.01,171.0,-161.0,276.0
176.63,62.04,37.88,64.27,206.58,176.63,76.71,200.79,163.0,-139.0,374.0
156.53,41.7,39.84,96.92,203.99,156.53,74.99,158.39,159.0,-206.0,327.0
179.48,121.2,68.54,25.45,163.54,179.49,-10.26,232.14,144.0,-229.0,384.0
121.9,38.27,52.11,145.09,174.37,121.9,31.52,108.06,136.0,-232.0,326.0
122.79,30.66,44.09,151.3,192.65,122.79,48.04,109.36,127.0,-230.0,251.0
134.38,38.15,52.33,150.04,185.45,134.38,43.9,120.2,116.0,-237.0,275.0
178.12,81.32,59.62,55.94,175.4,178.12,37.18,199.82,154.0,-182.0,337.0
155.0,56.95,48.92,90.43,183.51,155.0,49.13,163.03,151.0,-179.0,375.0
179.2,102.23,54.85,42.73,179.33,179.2,22.12,226.58,128.0,-127.0,378.0
138.91,39.6,50.81,140.62,188.04,138.91,48.5,127.7,139.0,-243.0,331.0
114.85,24.44,44.07,152.54,200.31,114.85,46.34,95.22,124.0,-121.0,252.0
130.42,35.3,48.01,138.65,195.39,130.42,47.11,117.71,151.0,-203.0,313.0
183.52,73.65,42.29,19.11,198.22,183.52,67.58,214.88,155.0,-166.0,384.0
165.13,60.78,43.13,64.8,191.85,165.13,61.22,182.78,140.0,-137.0,338.0
189.01,172.43,74.9,24.55,156.5,189.83,-58.32,286.54,106.0,-236.0,384.0
157.56,66.77,64.77,90.27,159.84,157.56,26.02,159.56,171.0,-244.0,331.0
179.3,74.6,57.02,74.48,180.32,179.3,47.68,196.88,167.0,-237.0,360.0
174.0,81.99,55.53,39.37,175.16,174.01,36.48,200.46,172.0,-195.0,402.0
