red, green, blue, H, S, V, r, rg, most_red, least_red, most_yellow,Sweetness
184.66,90.55,44.45,20.3,197.09,184.66,49.66,230.76,157,-208,368,14.7
143.38,32.91,46.23,143.37,202.06,143.38,64.24,130.06,154,-239,335,14.7
152.75,26.75,41.77,139.29,214.57,152.75,84.23,137.73,167,-248,300,14.7
172.13,36.68,50.8,127.34,204.74,172.13,84.65,158.01,171,-161,276,14.7
176.63,62.04,37.88,64.27,206.58,176.63,76.71,200.79,163,-139,374,14.7
156.53,41.7,39.84,96.92,203.99,156.53,74.99,158.39,159,-206,327,14.7
179.48,121.2,68.54,25.45,163.54,179.49,-10.26,232.14,144,-229,384,13.15
121.9,38.27,52.11,145.09,174.37,121.9,31.52,108.06,136,-232,326,13.15
122.79,30.66,44.09,151.3,192.65,122.79,48.04,109.36,127,-230,251,13.15
134.38,38.15,52.33,150.04,185.45,134.38,43.9,120.2,116,-237,275,13.15
178.12,81.32,59.62,55.94,175.4,178.12,37.18,199.82,154,-182,337,13.15
155,56.95,48.92,90.43,183.51,155,49.13,163.03,151,-179,375,13.15
179.2,102.23,54.85,42.73,179.33,179.2,22.12,226.58,128,-127,378,16.45
138.91,39.6,50.81,140.62,188.04,138.91,48.5,127.7,139,-243,331,16.45
114.85,24.44,44.07,152.54,200.31,114.85,46.34,95.22,124,-121,252,16.45
130.42,35.3,48.01,138.65,195.39,130.42,47.11,117.71,151,-203,313,16.45
183.52,73.65,42.29,19.11,198.22,183.52,67.58,214.88,155,-166,384,16.45
165.13,60.78,43.13,64.8,191.85,165.13,61.22,182.78,140,-137,338,16.45
189.01,172.43,74.9,24.55,156.5,189.83,-58.32,286.54,106,-236,384,14.55
157.56,66.77,64.77,90.27,159.84,157.56,26.02,159.56,171,-244,331,14.55
179.3,74.6,57.02,74.48,180.32,179.3,47.68,196.88,167,-237,360,14.55
174,81.99,55.53,39.37,175.16,174.01,36.48,200.46,172,-195,402,14.55
182.72,123.63,63.47,32.39,167.41,182.74,-4.38,242.88,140,-227,389,14.55
171.07,80.59,50.33,54.95,183.38,171.08,40.15,201.33,163,-233,361,14.55
158.74,93.24,63.79,58.17,160.74,158.74,1.71,188.19,133,-227,400,15.3
171.02,116.3,79,41.74,141,171.27,-24.28,208.32,130,-229,393,15.3
126.82,38.98,50.83,153.45,178.51,126.82,37.01,114.97,145,-231,263,15.3
181.23,121.61,65.7,19.96,164.48,181.25,-6.08,237.14,162,-162,381,15.3
176.97,129.8,69.92,27.53,154.47,176.99,-22.75,236.85,117,-197,385,15.3
130.84,43.93,56.3,141.08,175.83,130.84,30.61,118.47,144,-207,338,15.3
171.06,149.19,72.59,31.45,155.59,176.33,-50.72,247.66,141,-234,379,13
174.73,137.09,77.04,27.87,147.41,175.36,-39.4,234.78,90,-225,360,13
155.28,45.11,42.05,50.52,188.02,155.28,68.12,158.34,161,-152,327,13
172.47,151.14,76.68,23.84,150.81,176.04,-55.35,246.93,118,-185,369,13
185.71,179.64,86.99,27.05,138.7,187.66,-80.92,278.36,38,-180,379,13
174.33,103.88,62,44,168.18,174.33,8.45,216.21,134,-194,377,13
183.02,128.83,61.82,24,170.46,183.03,-7.63,250.03,168,-202,416,13.55
186.91,135.5,74.12,23.47,157.01,187.6,-22.71,248.29,117,-226,383,13.55
181.51,56.07,61.32,115.64,189.42,181.52,64.12,176.26,180,-238,362,13.55
195.24,109.71,66.17,24.71,169.9,195.24,19.36,238.78,182,-224,358,13.55
200.51,118.37,67.44,14.94,170.52,200.51,14.7,251.44,131,-180,345,13.55
192.49,92.73,54.51,14.32,184.27,192.49,45.25,230.71,150,-130,349,13.55
175.77,155.68,71.24,27.68,156.83,175.98,-51.15,260.21,106,-235,386,13.8
170.35,85.12,61.74,42.44,165.02,170.44,23.49,193.73,175,-162,363,13.8
162.32,49.81,49.76,89.25,186.07,162.32,62.75,162.37,161,-228,279,13.8
164.42,85.48,56.74,85.06,177.71,165.11,22.2,193.16,163,-227,395,13.8
182.26,152.6,67.48,23.09,164.92,182.82,-37.82,267.38,134,-203,384,13.8
188.97,160.03,83.08,21.37,149.46,189.01,-54.14,265.92,116,-222,378,13.8
192.83,158.27,75.03,23.38,159.68,192.86,-40.47,276.07,128,-200,397,13.65
182.83,159.75,85.47,25.84,138.9,184.54,-62.39,257.11,108,-234,369,13.65
190.91,77.09,58.49,29.89,178.15,190.91,55.33,209.51,171,-233,344,13.65
204.53,137.76,79.75,16.32,156.93,204.53,-12.98,262.54,158,-237,363,13.65
208.12,180.4,94.36,22.19,140.64,208.12,-66.64,294.16,95,-241,387,13.65
206.05,159.6,88.4,18.03,146.79,206.05,-41.95,277.25,61,-223,380,13.65
180.46,117.85,70.59,34.88,158.12,180.47,-7.98,227.72,120,-228,390,14.3
134.19,41.63,49.98,151.03,182.73,134.19,42.58,125.84,150,-245,302,14.3
144.79,39.49,50.21,136.7,187.55,144.79,55.09,134.07,153,-169,338,14.3
164.14,70.38,59.06,85.13,175.81,164.14,34.7,175.46,151,-233,354,14.3
170.16,93,56.47,53.59,175.84,170.16,20.69,206.69,152,-167,382,14.3
150.82,54,51.55,110.31,186.8,150.82,45.27,153.27,146,-160,365,14.3
187.37,183.74,84.76,28.16,144.91,191,-81.13,286.35,56,-242,368,12.2
166.64,87.42,59.78,29.29,172.53,166.8,19.44,194.28,157,-250,351,12.2
183.37,104.83,61.06,32.89,175.62,183.4,17.48,227.14,146,-205,386,12.2
188.19,162.07,92.41,23.52,138.6,191.21,-66.29,257.85,136,-246,343,12.2
