,1rd_red,1rd_green,1rd_blue,1rd_rg,1rd_size,2nd_red,2nd_green,2nd_blue,2rd_rg,2nd_size,3rd_red,3rd_green,3rd_blue,3rd_rg,3rd_size,4th_red,4th_green,4th_blue,4rd_rg,4th_size,5th_red,5th_green,5th_blue,5rd_rg,5th_size,6th_red,6th_green,6th_blue,6rd_rg,6th_size
0,179.65,88.19,43.24,224.6,10981,141.68,32.8,45.73,128.75,10157,149.8,26.78,41.15,135.43,10081,168.14,36.24,49.68,154.7,10328,173.14,60.99,37.2,196.93,10264,153.59,41.23,39.23,155.59,10156
1,175.5,118.55,66.91,227.14,11926,119.29,38.01,51.21,106.09,11787,117.79,29.83,42.41,105.21,11222,129.69,37.26,50.61,116.34,11350,174.57,79.82,58.37,196.02,10948,148.2,55.01,47.1,156.11,11417
2,176.79,100.93,54.04,223.68,12153,136.82,39.15,49.96,126.01,11564,111.15,24.13,42.75,92.53,12272,126.25,34.55,46.45,114.35,11456,179.41,72.03,41.34,210.1,12173,160.67,59.33,42.09,177.91,11697
3,185.79,169.31,73.35,281.75,15137,155.54,65.98,63.87,157.65,15027,176.64,73.79,56.21,194.22,14726,169.77,80.17,54.21,195.73,14344,180.11,121.86,62.45,239.52,14778,168.33,79.42,49.54,198.21,14829
4,153.74,90.33,61.77,182.3,13290,165.26,112.35,76.17,201.44,12905,123.48,38.28,49.5,112.26,12509,177.73,119.31,64.3,232.74,13034,175.83,128.96,69.31,235.48,13274,128.7,43.53,55.35,116.88,12925
5,167.94,146.39,71.25,243.08,10603,171.73,134.72,75.62,230.83,10390,149.39,43.89,40.74,152.54,10369,167.48,146.69,74.28,239.89,10414,175.59,169.59,82.05,263.13,10669,169.47,101.07,60.19,210.35,10235
6,179.79,126.52,60.61,245.7,12882,184.88,133.94,73.19,245.63,12319,178.26,55.49,60.3,173.45,12430,191.76,107.84,64.95,234.65,12439,197.03,116.37,66.12,247.28,12677,186.68,90.05,52.91,223.82,12693
7,171.89,152.2,69.58,254.51,12443,167.03,83.51,60.42,190.12,11456,159.3,49.09,48.87,159.52,10871,158.35,82.56,54.68,186.23,11701,179.34,150.02,66.27,263.09,10543,186.88,158.18,81.96,263.1,11700
8,184.68,151.52,71.8,264.4,12112,179.35,156.5,83.58,252.27,11366,185.81,75.33,57.06,204.08,11696,200.7,135.3,78.13,257.87,11833,204.47,177.18,92.4,289.25,11336,203.47,157.75,87.08,274.14,11795
9,174.21,113.78,68.05,219.94,11169,126.6,39.85,47.37,119.08,10839,138.16,38.35,48.18,128.33,10951,159.4,68.5,57.31,170.59,10481,167.1,91.43,55.46,203.07,10605,144.53,52.07,49.5,147.1,10733
10,184.23,180.42,83.09,281.56,10240,163.6,85.92,58.64,190.88,10441,179.93,103.01,59.9,223.04,10320,186.36,160.42,91.32,255.46,10308,186.32,165.32,83.4,268.24,10157,182.35,132.73,74.03,241.05,10216
11,184.44,124.28,65.75,242.97,12940,174.81,127.05,67.46,234.4,12645,157.58,42.12,48.32,151.38,12920,186.15,102.53,60.55,228.13,12843,189.61,132.65,64.21,258.05,12642,185.05,96.02,55.94,225.13,12817
12,180.74,169.62,71.78,278.58,11712,180.08,153.15,92.93,240.3,11148,193.83,129.41,81.4,241.84,10891,180.64,170.9,89.63,261.91,11004,194.93,161.28,86.74,269.47,11321,185.54,150.64,79.96,256.22,11391
13,177.24,123.69,68.28,232.65,10098,147.19,84.4,57.99,173.6,10553,133.69,40.51,43.5,130.7,10379,166.21,80.22,50.53,195.9,9983,177.71,140.42,70.09,248.04,10039,175.43,121.95,60.7,236.68,9887
14,185.22,92.15,63.35,214.02,12534,181.62,161.62,77.46,265.78,11805,174.59,59.89,58.6,175.88,11874,183.29,99.04,58.0,224.33,12325,199.63,136.27,66.69,269.21,12185,191.74,142.07,75.51,258.3,12439
15,172.43,136.94,62.81,246.56,7671,98.14,33.72,38.57,93.29,7854,123.25,33.24,41.14,115.35,7387,119.88,40.01,36.51,123.38,7148,139.46,69.52,44.29,164.69,7295,134.12,50.9,45.03,139.99,7292
16,173.0,128.79,72.49,229.3,12871,166.55,131.07,69.27,228.35,11992,170.41,71.14,53.37,188.18,12136,172.83,88.24,58.21,202.86,12048,177.22,98.68,63.17,212.73,12038,180.96,154.94,78.96,256.94,12463
17,182.69,164.69,74.45,272.93,15506,177.33,109.12,62.24,224.21,14906,152.25,44.07,54.67,141.65,15387,166.8,84.7,54.52,196.98,15682,185.12,115.11,56.13,244.1,15402,193.7,153.51,76.1,271.11,15633
18,175.81,130.16,66.02,239.95,10375,159.07,77.44,60.93,175.58,10465,143.45,32.78,42.67,133.56,9989,164.94,87.38,56.34,195.98,10194,189.94,160.35,82.07,268.22,9845,182.21,132.97,68.35,246.83,10037
19,176.82,142.27,78.18,240.91,11105,163.38,100.74,58.52,205.6,10970,160.89,63.21,42.11,181.99,10375,178.73,136.75,66.64,248.84,10609,180.84,172.7,75.18,278.36,10487,176.07,145.77,73.8,248.04,10537
20,184.16,154.87,81.29,257.74,12493,167.58,77.91,70.63,174.86,12166,150.15,48.17,45.82,152.5,11749,172.33,97.0,67.19,202.14,11764,185.18,155.89,91.75,249.32,11791,189.39,145.09,86.71,247.77,11851
21,175.35,179.53,76.66,278.22,8821,174.36,176.51,82.58,268.29,8548,184.78,146.85,77.2,254.43,8356,187.74,174.17,100.71,261.2,8812,185.83,185.28,98.03,273.08,8686,166.82,174.58,71.82,269.58,8779
22,178.16,133.95,74.26,237.85,10777,169.73,163.35,80.79,252.29,10869,178.9,128.28,74.6,232.58,10746,183.97,138.72,78.97,243.72,10566,192.47,162.79,86.63,268.63,10455,189.66,164.63,87.18,267.11,10885
23,157.98,103.2,58.59,202.59,10883,160.08,114.35,70.15,204.28,11296,150.85,65.65,49.44,167.06,10725,171.58,91.98,60.67,202.89,10140,185.58,156.87,84.57,257.88,10440,174.53,105.81,66.44,213.9,10439
24,142.78,64.35,49.73,157.4,8795,157.92,99.7,69.43,188.19,8975,119.91,30.27,42.06,108.12,8594,163.18,60.33,51.35,172.16,8453,174.87,93.3,60.08,208.09,8283,141.66,53.11,48.9,145.87,8316
25,164.41,115.07,56.91,222.57,13414,161.78,125.35,60.46,226.67,12779,153.73,57.25,38.93,172.05,12887,172.07,98.73,52.68,218.12,12871,169.19,95.6,48.31,216.48,12812,148.14,66.29,39.04,175.39,12656
26,174.84,104.7,65.33,214.21,12371,150.4,71.43,62.57,159.26,12217,114.01,31.87,47.96,97.92,11526,167.29,57.82,54.0,171.11,11584,176.1,96.65,56.88,215.87,11985,125.44,35.35,47.42,113.37,12245
27,149.23,70.87,54.69,165.41,14261,165.74,128.57,70.97,223.34,13516,155.23,51.97,47.95,159.25,13963,160.9,67.39,51.29,177.0,13867,154.94,41.04,45.69,150.29,13939,162.49,81.16,54.04,189.61,13372
28,164.17,128.93,66.55,226.55,10628,158.69,85.92,57.09,187.52,10147,154.82,59.0,40.28,173.54,9632,180.58,103.49,61.58,222.49,9658,186.31,151.95,80.9,257.36,9559,178.74,109.93,63.23,225.44,9846
29,152.7,95.08,56.62,191.16,11883,155.57,119.27,68.31,206.53,11184,131.63,48.82,44.69,135.76,11086,137.75,78.38,51.46,164.67,11462,170.18,157.36,71.64,255.9,11104,167.58,133.55,63.86,237.27,11928
30,175.93,84.44,53.26,207.11,15876,151.73,51.04,58.43,144.34,15077,115.65,33.84,51.37,98.12,15768,174.34,63.8,48.5,189.64,16160,182.08,75.92,47.81,210.19,15745,136.4,39.66,52.99,123.07,15939
