size,red, green, blue, H, S, V, r, rg, most_red, least_red, most_yellow, 1_g_r, 1_rg_r, 1_gb_r, 1_rgb_r, 1_r_rg, 1_g_rg, 1_gb_rb, 1_rgb_rb, 1_r_rgb, 1_gb_rgb
9664,166.33,121.79,58.94,16.58,163.24,166.33,-14.4,229.18,106,-234,347,0.732219083,1.732219083,1.086574881,2.086574881,0.577294183,0.422705817,0.802281706,1.540640121,0.479254308,0.520745692
8821,154.92,104.17,57.52,13.51,157.38,154.93,-6.77,201.57,108,-237,316,0.672411567,1.672411567,1.043699974,2.043699974,0.59793894,0.40206106,0.761109019,1.490350217,0.489308613,0.510691387
9710,143.99,80.19,46.02,10.88,171.94,143.99,17.78,178.16,124,-237,323,0.556913675,1.556913675,0.876519203,1.876519203,0.642296369,0.357703631,0.664228199,1.422030419,0.532901554,0.467098446
9355,154.58,103.08,57.11,13.47,161.51,154.58,-5.61,200.55,94,-231,344,0.666839177,1.666839177,1.036291888,2.036291888,0.599937903,0.400062097,0.756719732,1.486938448,0.491088731,0.508911269
9288,161.54,122.77,64.95,17.18,154.77,161.54,-26.18,219.36,69,-242,331,0.759997524,1.759997524,1.162065123,2.162065123,0.568182618,0.431817382,0.828822465,1.542054837,0.462520758,0.537479242
9479,156.4,109.76,56.83,15.62,164.1,156.41,-10.19,209.33,91,-238,329,0.701790281,1.701790281,1.065153453,2.065153453,0.587616471,0.412383529,0.781269052,1.514749332,0.484225518,0.515774482
9484,176.75,121.68,70.26,14.36,151.14,176.75,-15.19,228.17,74,-244,329,0.688429986,1.688429986,1.085940594,2.085940594,0.592266193,0.407733807,0.777053561,1.492611635,0.479400038,0.520599962
8776,150.1,77.78,46.58,9.31,172.81,150.1,25.74,181.3,111,-239,308,0.518187875,1.518187875,0.828514324,1.828514324,0.658680007,0.341319993,0.632296116,1.395464714,0.546892079,0.453107921
9550,150.22,66.74,44.29,6.37,178.36,150.22,39.19,172.67,122,-243,311,0.44428172,1.44428172,0.739115963,1.739115963,0.692385693,0.307614307,0.570818981,1.343118606,0.575004785,0.424995215
9409,156.22,89.11,52.04,10.25,169.35,156.22,15.07,193.29,104,-237,318,0.570413519,1.570413519,0.903533478,1.903533478,0.636774956,0.363225044,0.677758571,1.427878613,0.525338804,0.474661196
9255,160.17,109.38,59.91,14.29,157.92,160.19,-9.12,209.64,75,-253,316,0.682899419,1.682899419,1.056939502,2.056939502,0.594212577,0.405787423,0.769220284,1.497001091,0.48615917,0.51384083
9160,159.4,108.38,59.21,14.43,158.02,159.42,-8.19,208.57,90,-243,329,0.679924718,1.679924718,1.051380176,2.051380176,0.59526477,0.40473523,0.766616349,1.495768721,0.487476681,0.512523319
9317,155.46,90.8,51.47,12.09,168.72,155.47,13.19,194.79,121,-251,333,0.584073073,1.584073073,0.915155024,1.915155024,0.631284009,0.368715991,0.687527183,1.438795728,0.522150942,0.477849058
9569,144.78,70.48,44.29,8.97,175.55,144.79,30.01,170.97,118,-249,281,0.48680757,1.48680757,0.792719989,1.792719989,0.672581994,0.327418006,0.607023854,1.372771989,0.557811597,0.442188403
9926,174.84,127.21,68.43,16.18,153.63,174.84,-20.8,233.62,104,-250,364,0.727579501,1.727579501,1.118965912,2.118965912,0.578844562,0.421155438,0.804209315,1.522916924,0.471928309,0.528071691
9219,165.55,125.91,65.91,17.13,152.32,165.56,-26.27,225.55,90,-242,331,0.760555723,1.760555723,1.158683177,2.158683177,0.56800247,0.43199753,0.828739307,1.543981682,0.463245376,0.536754624
10130,153.51,94.23,53.65,11.96,166.32,153.51,5.63,194.09,116,-246,331,0.613836232,1.613836232,0.963324865,1.963324865,0.61964156,0.38035844,0.713844372,1.454865804,0.509340058,0.490659942
10285,163.57,120.64,65.35,16.08,152.69,163.57,-22.42,218.86,106,-224,363,0.737543559,1.737543559,1.137066699,2.137066699,0.57552514,0.42447486,0.812467237,1.526996331,0.467931113,0.532068887
9930,167.82,125.08,69.68,16.22,147.58,167.82,-26.94,223.22,86,-227,344,0.745322369,1.745322369,1.160529138,2.160529138,0.572960055,0.427039945,0.820042105,1.526652632,0.462849578,0.537150422
10010,163.97,111.63,63.2,13.87,155.6,163.97,-10.86,212.4,84,-231,343,0.680795267,1.680795267,1.066231628,2.066231628,0.594956459,0.405043541,0.769599859,1.49139411,0.483972845,0.516027155
10309,174.4,112.31,63.59,13.17,161.04,174.4,-1.5,223.12,88,-231,321,0.643979358,1.643979358,1.008600917,2.008600917,0.608280144,0.391719856,0.739106685,1.471910584,0.497858978,0.502141022
9520,160.72,90.94,50.76,10.82,173.24,160.72,19.02,200.9,112,-225,323,0.565828771,1.565828771,0.881657541,1.881657541,0.638639434,0.361360566,0.67003972,1.430017023,0.531446333,0.468553667
9946,162.25,95.45,52.38,11.99,172.12,162.25,14.42,205.32,108,-236,347,0.588289676,1.588289676,0.911124807,1.911124807,0.629608071,0.370391929,0.688766715,1.444718818,0.523252064,0.476747936
9901,175.71,127.61,68.92,16.12,154.96,175.71,-20.82,234.4,84,-236,354,0.726253486,1.726253486,1.118490695,2.118490695,0.5792892,0.4207108,0.803376528,1.521644933,0.472034172,0.527965828
9740,170.41,123.93,61.38,16.84,162.17,170.41,-14.9,232.96,91,-229,347,0.727246054,1.727246054,1.087436183,2.087436183,0.578956309,0.421043691,0.799473662,1.534664998,0.479056561,0.520943439
9459,168.65,123.59,63.09,16.81,158.93,168.65,-18.03,229.15,88,-231,336,0.732819449,1.732819449,1.106907797,2.106907797,0.577094169,0.422905831,0.805557953,1.533313196,0.474629218,0.525370782
9445,165.93,120.99,61.81,16.55,159.45,165.93,-16.87,225.11,96,-235,326,0.7291629,1.7291629,1.101669379,2.101669379,0.578314513,0.421685487,0.802669711,1.531263722,0.475812233,0.524187767
